ID,Population,Labor Part.,Employment,Unemployment
1003,148529,63.2,57.4,8.9
1015,93539,58.6,50.6,12.9
1043,64388,56.4,50.8,9.8
1049,56908,58.5,51.4,12.2
1051,63883,60.1,53.0,10.9
1055,83362,52.1,46.7,9.4
1069,80080,61.2,55.9,8.5
1073,521003,61.5,54.2,11.8
1077,75546,57.4,54.3,5.4
1081,116445,61.4,53.9,10.6
1083,68070,56.0,51.9,7.2
1089,271382,66.6,59.0,10.8
1095,73603,56.8,49.2,13.3
1097,322208,59.6,52.6,11.2
1101,181614,61.5,54.2,9.8
1103,94609,64.1,58.1,9.2
1115,67378,58.9,50.6,14.0
1117,153007,70.5,64.9,7.9
1121,64911,53.5,42.9,19.7
1125,159911,57.1,51.4,10.0
1127,53205,51.7,43.8,14.9
2020,228812,74.6,65.2,7.7
2090,76125,73.5,61.9,6.5
2170,68035,63.0,55.8,11.2
4001,52720,49.0,37.9,22.6
4003,106479,50.3,41.8,10.9
4005,107639,66.7,59.6,10.5
4013,2985719,64.5,58.0,9.9
4015,166309,48.9,41.5,15.0
4017,79945,51.0,40.2,21.3
4019,792723,58.8,51.3,11.9
4021,292250,49.6,41.2,16.6
4025,178594,50.5,44.7,11.6
4027,152032,52.0,43.1,13.5
5007,170341,63.8,59.8,5.5
5031,76153,62.8,53.7,14.4
5045,90052,66.5,61.1,8.0
5051,78944,55.9,50.5,9.5
5069,60027,57.6,48.8,15.1
5085,52344,65.5,59.9,5.5
5119,303949,66.8,59.6,9.6
5125,85999,63.2,59.2,6.3
5131,98684,59.4,54.8,7.8
5143,160147,66.9,61.7,7.8
5145,61286,57.8,52.9,8.0
6001,1227147,65.9,59.0,10.4
6007,180641,55.8,46.7,15.9
6013,835497,65.4,57.7,11.7
6017,145905,62.8,53.4,15.0
6019,699661,61.4,51.4,16.1
6023,111460,58.0,50.7,12.5
6025,131869,53.9,44.7,16.5
6029,625879,60.0,50.6,15.0
6031,115845,55.8,43.7,16.3
6033,53175,57.9,48.1,17.0
6037,7805258,64.5,56.6,12.2
6039,115395,47.6,44.2,7.1
6041,208748,64.3,58.9,8.4
6045,70352,64.6,53.6,16.2
6047,188542,60.3,49.6,17.6
