ID,Population,Labor Part.,Employment,Unemployment
8035,200925,75.6,72.0,4.5
8041,451040,70.8,61.4,6.6
8059,425226,71.1,67.4,5.2
8069,233547,69.9,64.6,7.4
8077,111135,66.5,64.3,3.2
8101,122470,61.2,57.4,5.9
8123,184191,71.5,68.4,4.3
9001,697918,67.2,63.4,5.6
9003,698870,67.7,63.1,6.6
9005,152663,69.9,66.1,5.4
9007,132781,70.0,67.5,3.5
9009,673407,67.3,62.6,6.9
9011,214325,67.2,60.7,5.0
9013,122078,68.8,65.6,4.6
9015,94744,71.2,65.9,7.4
10001,117932,61.8,56.7,6.3
10003,415829,67.6,63.8,5.4
10005,149207,59.3,56.0,5.5
11001,487471,66.9,60.0,8.1
12001,199411,59.3,56.5,4.7
12005,129932,66.3,59.5,4.8
12009,442461,59.2,55.0,6.5
12011,1394454,66.2,62.0,6.2
12015,132411,48.9,45.7,6.5
12017,119695,44.5,40.9,8.1
12019,142303,68.5,62.1,7.4
12021,256023,55.8,52.7,5.5
12023,N,N,N,N
12031,653225,68.9,63.3,6.5
12033,245766,61.0,50.7,9.4
12035,73968,50.0,47.3,5.0
12053,140216,51.9,47.5,8.3
12055,82569,44.2,39.4,10.9
12057,914832,67.7,62.8,6.7
12061,109831,56.3,51.6,8.2
12069,248040,52.1,48.7,6.2
12071,479644,58.5,54.7,6.5
12073,213924,69.1,65.2,5.5
12081,255448,58.1,54.6,5.9
12083,267108,52.0,48.5,6.6
12085,117492,57.5,52.9,7.8
12086,1910219,61.7,58.4,5.2
12087,62890,69.1,66.6,2.8
12089,N,N,N,N
12091,143243,67.1,59.2,4.5
12095,826673,70.1,65.9,5.8
12097,196905,65.9,62.5,5.1
12099,1031012,59.3,55.7,6.0
12101,377005,56.0,51.7,7.6
12103,766042,60.0,56.7,5.3
12105,451498,59.0,55.1,6.5
12107,58987,51.8,46.7,9.8
12109,142969,62.2,58.2,5.7
12111,208320,57.8,53.2,7.8
12113,117309,60.5,53.2,8.8
12115,318221,52.5,49.1,6.4
12117,326414,68.2,64.0,5.8
12119,N,N,N,N
12127,413830,57.5,54.1,5.8
13013,N,N,N,N
13015,69109,65.0,61.9,4.5
13021,117269,56.5,51.8,7.9
13031,56057,60.5,57.0,5.8
13045,85848,66.2,59.9,9.5
13051,192128,62.2,58.6,4.4
13057,150408,72.5,68.5,5.5
13059,93966,61.6,57.8,5.8
13063,199464,71.3,64.3,9.4
13067,530291,71.4,67.1,5.8
13073,82797,68.1,63.7,3.7
13077,88709,69.3,65.1,5.5
13089,578734,71.2,64.4,9.4
13095,72887,59.1,50.1,14.7
13097,92885,70.3,63.8,8.9
13113,84355,65.5,62.6,4.1
13115,75012,60.0,56.6,5.6
13117,116051,70.7,67.9,3.9
13121,769471,69.6,64.4,7.3
13127,58310,63.8,61.7,3.3
13135,573816,73.3,68.7,6.2
13139,133710,66.3,63.1,4.8
13151,135802,72.3,68.2,5.3
13153,99086,67.3,60.5,6.4
13185,78485,65.6,58.6,6.1
13215,141109,63.1,53.0,9.4
13217,70931,69.9,62.8,10.2
13223,92131,73.7,69.5,5.7
13245,152074,60.4,49.3,9.0
13247,62558,67.7,62.1,8.2
13297,N,N,N,N
13313,68113,63.9,58.2,8.8
15001,138584,64.3,60.5,5.4
15003,727447,64.7,57.1,4.4
15009,113548,70.8,67.5,4.6
16001,284253,71.0,67.7,4.4
16005,58826,66.6,64.5,2.9
16019,70329,70.4,67.9,3.5
16027,128326,65.9,61.2,6.9
16055,105695,64.7,61.5,4.9
16083,55486,65.9,62.9,4.4
17001,53822,65.9,62.8,4.8
17019,155526,67.2,62.9,6.3
17031,4119134,65.8,60.6,8.0
17037,83472,71.4,66.5,6.8
17043,725680,70.5,67.0,4.9
17089,367338,72.6,67.9,6.4
17091,85713,63.0,58.5,7.1
17093,71179,73.1,69.1,5.4
17097,536238,72.0,65.4,7.0
17099,89764,63.8,58.9,7.4
17111,239816,72.0,67.9,5.8
17113,131261,69.8,65.8,5.6
17115,86636,61.9,58.1,6.0
17119,212905,64.1,59.5,6.6
17143,142749,63.1,57.4,9.1
17161,117658,63.9,59.0,7.6
17163,202312,67.2,59.6,8.7
17167,153514,69.0,63.2,8.0
17179,104449,65.7,62.2,5.3
17183,64393,60.8,53.3,12.2
17197,502108,70.3,66.4,5.6
17201,230878,65.7,60.0,8.6
18003,265630,68.8,64.4,6.2
18005,57512,63.9,59.7,6.6
18019,82767,68.2,64.2,5.9
18035,94984,60.6,54.1,10.7
18039,146517,71.6,66.3,7.5
18043,57572,68.1,63.1,7.2
18053,56212,60.0,55.7,7.2
18057,191223,74.4,72.0,3.0
18059,51708,70.5,67.7,3.9
18063,102740,70.3,67.9,3.5
18067,65737,57.4,53.7,6.3
18081,106259,66.8,63.9,3.9
18085,59132,68.6,63.6,7.3
18089,380271,63.5,58.2,8.3
18091,87178,61.5,57.2,7.0
18095,104872,62.1,56.8,8.5
18097,668403,68.7,63.5,7.4
18105,108778,59.1,55.1,6.4
18109,54346,65.3,61.1,6.4
18127,126885,66.9,62.5,6.4
18141,206296,64.1,60.2,6.0
18157,132302,64.1,59.1,7.7
18163,138684,64.4,60.0,6.8
18167,84859,60.4,56.4,6.5
18177,54254,62.4,57.1,8.5
19013,102391,64.4,59.7,7.1
19061,72456,70.4,68.4,2.9
19103,102692,72.8,70.7,2.8
19113,160298,71.6,67.9,5.2
19153,319742,73.8,69.6,5.5
19155,70239,71.3,67.8,4.8
19163,126151,68.9,65.2,5.4
19169,70956,71.0,67.2,5.3
19193,77635,67.8,63.0,6.9
20045,94539,70.5,66.0,6.1
20091,403859,75.0,72.0,3.9
20103,58635,64.0,56.4,5.7
20161,56746,62.2,53.5,3.9
20173,358504,69.7,65.2,6.0
20177,135591,67.8,63.4,6.0
20209,113941,66.2,58.4,11.7
21015,N,N,N,N
21029,57744,66.6,62.6,5.7
21037,68279,68.6,65.5,4.5
21047,57418,62.9,45.4,8.3
21059,72972,60.7,57.3,5.5
21067,224211,68.2,65.7,3.6
21093,75675,63.2,54.7,7.0
21111,558411,65.7,61.2,6.8
21117,120734,69.7,65.3,6.4
21151,64319,65.8,61.2,6.8
21195,53345,47.9,44.6,7.0
21227,83170,68.0,63.9,5.8
22005,73461,67.9,65.0,4.2
22015,82788,66.1,56.8,9.2
22017,194765,60.9,54.9,9.4
22019,143272,63.1,59.6,5.6
22033,335770,67.1,62.5,6.8
22045,57421,62.4,58.0,7.0
22051,335390,63.8,60.5,4.7
22055,158595,70.1,67.0,4.2
22057,72876,56.4,54.6,3.2
22063,88240,66.1,63.8,3.0
22071,200750,59.4,52.5,11.5
22073,113805,60.9,57.3,5.9
22079,100669,60.5,56.1,7.2
22097,69438,50.7,48.8,3.7
22103,175293,61.2,58.8,3.3
22105,88242,51.1,48.2,5.5
22109,83865,59.8,57.5,3.5
23001,85672,66.1,61.4,6.7
23003,60133,58.2,55.3,5.1
23005,223381,70.0,66.6,4.6
23011,99099,64.4,59.6,7.2
23019,122649,62.7,59.1,5.7
23031,162186,68.6,64.9,5.0
24001,61070,53.7,50.5,6.0
24003,402975,69.1,64.2,4.9
24005,634433,67.1,63.6,5.1
24009,68135,71.7,68.3,3.6
24013,133102,68.1,65.5,3.7
24015,78531,71.0,66.4,6.2
24017,107046,75.2,69.8,4.3
24021,173406,72.4,69.5,3.8
24025,186831,69.5,64.1,3.4
24027,212262,72.5,69.6,3.5
24031,730604,71.7,68.6,3.9
24033,646052,73.0,67.2,7.4
24037,76931,70.6,64.9,4.1
24043,115438,66.3,63.1,4.6
24045,74224,67.6,61.8,8.5
24510,501220,60.2,54.1,10.1
25001,188113,61.9,58.5,5.0
25003,108394,62.8,58.6,6.7
25005,434133,67.5,62.7,6.9
25009,579266,66.6,62.7,5.8
25011,59980,66.2,62.4,5.7
25013,361786,62.1,56.3,9.1
25015,131252,68.1,64.2,5.7
25017,1191795,69.2,65.8,4.7
25021,525088,68.5,65.0,4.9
25023,384960,69.6,64.4,7.2
25025,588690,66.9,61.5,8.1
25027,617678,67.9,63.8,5.9
26005,86806,65.6,60.4,7.9
26017,87506,62.8,57.6,8.2
26021,126130,62.1,58.0,6.6
26025,107037,59.9,55.2,7.7
26037,55379,69.6,64.9,6.7
26045,85791,67.9,63.7,5.9
26049,335171,59.0,52.2,11.4
26055,68478,68.2,63.5,6.6
26065,224231,65.2,59.2,9.0
26073,56065,64.2,56.7,11.7
26075,128474,59.5,54.0,9.1
26077,195431,66.5,60.4,9.1
26081,458327,70.2,64.9,7.5
26087,72701,65.6,59.6,9.1
26091,80805,64.1,58.4,8.9
26093,143835,70.8,65.7,7.2
26099,660044,66.4,59.9,9.7
26103,54573,57.9,54.5,5.9
26111,65869,63.6,57.7,9.1
26115,121670,65.1,59.2,8.9
26121,135902,61.4,53.7,12.3
26125,954886,67.3,62.3,7.3
26139,200374,69.5,65.4,5.9
26145,158675,58.3,51.6,11.3
26147,135123,63.4,56.1,11.4
26155,56869,61.1,54.4,10.9
26159,60536,64.4,58.0,10.0
26161,283024,66.8,62.4,6.5
26163,1526340,59.7,51.3,14.0
27003,250603,75.4,71.0,5.8
27019,65828,77.4,74.5,3.8
27037,297805,77.2,72.8,5.6
27053,901037,72.5,68.3,5.7
27109,108424,71.6,70.0,2.4
27123,393287,68.8,64.1,6.6
27137,163137,63.1,58.6,6.9
27139,92863,77.5,73.9,4.5
27141,64470,73.8,69.5,5.6
27145,116730,71.0,67.3,5.2
27163,173742,74.6,71.6,3.8
27171,87465,76.8,73.0,4.8
28033,110286,73.6,69.8,5.1
28035,60440,63.1,57.3,7.4
28047,135576,65.5,57.1,8.5
28049,189547,62.7,57.7,7.9
28059,100648,61.5,56.0,7.5
28067,53008,54.5,51.6,4.9
28075,59339,63.7,52.4,14.1
28081,60630,62.0,58.2,6.1
28089,67193,68.8,65.1,5.4
28121,107359,68.5,65.1,4.6
29019,122476,70.0,67.0,4.3
29021,69070,62.5,58.6,6.2
29031,58799,66.6,62.8,5.6
29037,74742,70.6,66.9,4.8
29043,55863,68.5,66.4,3.1
29047,162933,72.3,68.6,4.9
29051,57851,68.3,66.1,2.9
29071,77717,65.3,61.2,6.2
29077,212349,65.3,62.2,4.6
29095,514810,67.5,62.6,7.2
29097,88187,66.2,61.9,6.4
29099,167853,69.8,65.2,6.5
29165,66923,70.6,66.2,5.1
29183,263525,74.6,72.2,3.3
29189,791729,66.7,62.7,5.9
29510,272868,63.9,56.3,11.8
30013,64161,62.6,56.6,4.9
30029,69317,64.6,59.9,7.1
30031,71354,74.0,71.2,3.4
30063,85626,68.2,65.5,3.7
30111,109462,68.1,66.0,3.0
31055,379737,71.6,67.6,5.4
31109,216995,74.7,70.7,4.9
31153,108990,75.5,67.1,5.3
32003,1399100,68.0,63.8,5.5
32031,318347,69.5,66.3,4.4
33005,64342,67.6,63.3,6.2
33009,71459,63.7,61.0,4.1
33011,315948,71.7,67.4,5.8
33013,119965,68.8,65.8,4.2
33015,236431,72.4,68.8,4.9
33017,97775,69.9,66.5,4.8
34001,213093,65.9,60.5,8.2
34003,725155,65.8,63.0,4.2
34005,354552,68.2,63.3,5.8
34007,400953,66.2,61.1,7.5
34009,79599,61.4,56.8,6.8
34011,121781,60.7,54.1,10.7
34013,600690,64.4,59.3,7.9
34015,226976,68.7,63.7,7.2
34017,482003,68.5,63.8,6.9
34019,104395,68.1,66.0,3.1
34021,292004,66.2,62.1,6.0
34023,629914,66.1,62.6,5.2
34025,507378,66.7,62.9,5.5
34027,386064,68.8,66.2,3.8
34029,448635,57.7,54.3,5.9
34031,379705,63.7,60.0,5.8
34033,52820,65.5,61.5,6.1
34035,251806,68.9,66.6,3.1
34037,119687,71.1,67.2,5.5
34039,408441,66.3,61.9,6.5
34041,86677,67.1,62.6,6.2
35001,490917,65.0,61.2,5.0
35013,151291,61.4,57.2,6.6
35031,50978,56.7,54.3,4.2
35043,91472,65.0,60.7,6.2
35045,92709,60.1,57.8,3.8
35049,116828,67.6,64.0,5.1
35061,53542,58.2,53.0,8.7
36001,246062,65.2,61.8,5.2
36005,1032280,58.6,52.7,10.1
36007,161794,60.1,56.5,6.0
36009,64407,64.0,58.8,8.0
36011,65331,61.0,57.6,5.5
36013,109303,60.7,56.2,7.2
36015,70766,59.0,55.4,5.7
36019,68974,58.2,54.3,6.4
36027,235067,65.0,61.3,5.7
36029,739677,62.5,58.3,6.5
36045,91150,64.3,52.1,8.4
36047,1964861,59.1,55.1,6.7
36053,57645,65.5,61.9,5.6
36055,585020,62.7,58.3,6.9
36059,1044617,64.1,60.9,4.8
36061,1374451,67.7,63.1,6.8
36063,174575,61.2,56.9,6.7
36065,188573,61.2,57.4,6.2
36067,361847,64.7,60.8,5.8
36069,84219,67.4,63.9,5.0
36071,287888,68.2,61.9,5.2
36075,97980,63.3,58.1,7.9
36079,78986,63.2,60.7,3.9
36081,1839385,63.9,59.6,6.6
36083,126083,67.9,64.4,5.2
36085,381320,59.5,56.6,4.6
36087,226026,63.1,60.9,3.5
36089,90205,56.0,51.1,8.4
36091,174283,67.3,64.7,3.3
36093,120070,60.4,56.9,5.6
36101,77351,61.9,57.0,7.3
36103,1137379,65.7,62.6,4.6
36105,61376,58.2,54.7,6.1
36109,87717,60.6,58.1,3.9
36111,149073,63.7,60.4,5.0
36113,54323,62.5,58.1,6.8
36117,72396,63.7,61.1,4.0
36119,747931,65.3,61.9,5.1
37001,114247,67.6,64.1,5.1
37019,80452,60.2,54.1,10.1
37021,183367,63.9,60.6,5.1
37023,71052,58.1,54.1,6.9
37025,124142,71.5,65.6,8.3
37027,63526,60.9,55.9,8.2
37035,122722,64.9,60.8,6.2
37045,78683,59.6,52.2,12.5
37049,74764,60.0,47.3,6.9
37051,228744,65.2,51.6,9.3
37057,124990,66.0,59.5,9.7
37063,198597,68.7,64.1,6.6
37067,264646,64.8,61.2,5.4
37071,158972,64.5,58.5,9.2
37081,367392,68.0,62.5,8.1
37085,82793,63.7,55.0,10.2
37089,82895,59.2,54.9,7.3
37097,117565,68.9,65.1,5.5
37101,118259,70.0,65.7,5.5
37109,58374,67.9,64.4,5.1
37119,661139,73.7,68.7,6.7
37125,68040,57.0,52.8,6.5
37127,72585,62.6,59.6,4.8
37129,154487,66.4,62.8,4.9
37133,122977,69.0,36.3,8.0
37135,103857,64.8,61.4,5.2
37147,119786,64.1,59.6,6.6
37151,110041,67.2,61.8,8.0
37155,96819,56.3,52.3,7.0
37157,74406,60.2,55.2,8.4
37159,108986,61.3,56.8,7.2
37171,57407,60.7,57.8,4.6
37179,138781,70.3,66.5,5.4
37183,638763,71.9,68.8,4.2
37191,87803,60.3,54.0,7.4
37193,53484,61.3,58.1,5.0
37195,59807,62.4,56.5,9.6
38015,62545,70.6,68.4,3.1
38017,109679,76.0,72.7,4.0
38035,53504,71.6,64.9,4.3
39003,82739,65.6,59.9,8.6
39007,80117,60.1,54.6,9.2
39013,55989,55.7,52.1,6.4
39017,279272,65.3,61.6,5.6
39023,111212,61.6,55.9,9.2
39025,148808,67.2,63.6,5.2
39029,87974,60.8,55.8,8.3
39035,1028469,64.5,58.8,8.7
39041,120609,74.6,71.5,4.0
39043,62479,60.6,56.1,7.3
39045,110021,67.3,63.5,5.6
39049,862016,68.9,64.5,6.2
39055,74478,65.6,62.7,4.5
39057,124999,66.8,61.4,5.6
39061,664154,65.4,60.9,6.9
39063,58592,69.3,65.7,5.1
39081,56804,52.6,50.2,4.6
39085,187955,68.8,65.6,4.8
39089,122621,68.6,63.6,7.2
39093,237091,65.5,58.8,10.2
39095,344921,66.0,58.6,11.0
39099,193713,59.3,55.1,7.1
39101,52673,58.8,55.3,5.9
39103,132910,70.4,66.6,5.5
39109,80380,65.3,61.5,5.6
39113,426937,63.5,58.0,8.0
39119,67543,63.1,54.4,13.6
39133,126379,70.8,66.3,6.2
39139,100709,60.5,55.7,7.6
39141,60451,57.4,50.4,12.1
39145,60767,50.4,45.1,10.5
39151,303416,64.6,60.0,7.1
39153,429398,65.3,60.4,7.5
39155,172039,58.5,54.6,6.7
39157,71697,62.0,59.0,4.7
39165,155984,70.7,68.0,3.7
39169,88468,64.9,60.5,6.8
39173,103164,68.2,62.4,8.5
40017,80827,68.7,65.3,4.2
40027,189472,68.4,64.3,4.8
40031,84751,64.3,47.6,8.2
40037,54610,61.6,56.6,8.0
40101,55918,57.0,53.3,6.2
40109,534536,66.1,61.5,5.7
40119,66457,65.9,64.3,2.5
40125,54601,58.2,54.6,6.0
40131,64798,66.7,62.5,6.0
40143,447742,67.7,64.4,4.8
40145,52649,66.5,64.0,3.5
41003,68009,64.4,62.0,3.6
41005,301756,67.6,64.1,5.2
41017,123813,66.1,63.0,4.7
41019,85526,56.7,51.0,10.1
41029,161664,62.0,57.2,7.7
41033,67107,51.6,46.9,9.2
41035,52322,62.5,57.3,7.0
41039,282804,62.7,59.0,5.8
41043,90369,62.1,58.2,6.3
41047,237320,64.5,59.0,8.5
41051,558670,68.6,64.3,6.2
41053,60823,61.6,56.0,9.1
41059,56280,62.5,57.7,7.7
41067,401146,71.3,67.3,5.5
41071,76576,65.6,59.7,8.7
42001,81091,67.1,63.9,4.6
42003,997845,63.0,59.3,5.7
42005,56785,60.5,54.9,8.9
42007,141998,61.8,59.1,4.3
42011,317359,66.7,62.6,5.9
42013,101585,60.4,55.4,8.2
42017,495711,67.2,64.3,3.9
42019,145708,65.6,62.5,4.6
42021,120435,54.2,49.8,7.9
42027,124330,59.1,56.5,4.2
42029,380818,69.3,66.4,4.3
42033,67843,56.1,51.4,8.1
42037,54626,59.4,55.2,7.1
42039,71047,57.3,53.2,7.0
42041,186928,65.3,62.4,3.8
42043,202448,68.7,65.3,4.7
42045,439497,63.6,59.7,6.0
42049,222913,61.5,57.7,5.7
42051,118985,53.5,49.6,7.3
42055,112245,64.8,62.4,3.4
42063,74221,58.8,54.5,7.3
42069,171909,61.5,58.6,4.7
42071,387709,66.6,63.9,4.0
42073,74063,58.9,54.6,7.3
42075,102512,65.2,60.5,7.0
42077,267781,65.0,61.4,5.5
42079,257670,60.8,57.8,4.7
42081,95382,63.5,57.1,10.0
42085,95964,55.1,52.3,5.0
42089,130023,66.0,59.9,8.9
42091,619639,70.1,66.9,4.4
42095,236795,65.8,62.3,5.2
42097,75280,58.8,55.8,5.2
42101,1128730,59.0,52.6,10.7
42107,122560,57.4,54.5,5.0
42111,64515,58.3,55.4,4.9
42125,168557,60.1,56.4,6.0
42129,300653,60.5,57.7,4.3
42133,333581,68.5,65.1,4.9
44003,137535,69.4,65.8,5.1
44005,67836,63.3,58.0,4.5
44007,501992,64.7,59.8,7.4
44009,103639,67.1,63.7,4.7
45003,120861,59.9,56.5,5.7
45007,141796,62.1,57.1,8.1
45013,115718,60.6,51.0,6.1
45015,126016,67.0,60.2,6.1
45019,271040,66.1,62.1,5.4
45031,52716,62.3,56.3,9.2
45035,95823,66.7,62.8,3.6
45041,102581,60.9,55.8,8.3
45045,334647,66.0,61.7,6.5
45047,53438,64.9,57.7,11.1
