ID,Population,Labor Part.,Employment,Unemployment
1003,164125,56.4,53.5,5.1
1015,93323,56.5,50.7,10.1
1043,66026,49.0,46.8,4.5
1049,55330,54.0,51.0,5.6
1051,64989,54.1,51.1,4.6
1055,82860,55.3,52.8,4.6
1069,82231,57.8,53.1,7.8
1073,524885,63.3,58.3,7.8
1077,75748,53.0,49.7,6.0
1081,127060,61.3,57.6,5.4
1083,72793,58.8,53.4,9.1
1089,284688,62.3,57.5,7.2
1095,73697,55.8,53.4,4.3
1097,326702,57.5,53.5,6.6
1101,178812,61.8,55.8,8.2
1103,95682,56.8,53.1,6.6
1115,69917,55.8,53.1,4.8
1117,164117,65.0,62.4,4.0
1121,64575,52.0,45.1,13.2
1125,166085,55.2,52.1,5.6
1127,52481,48.9,43.2,11.6
2020,231969,73.2,64.9,6.4
2090,78057,74.7,61.6,7.9
2170,76675,62.4,56.1,9.0
4001,52489,38.5,32.9,14.4
4003,102342,45.9,38.7,7.5
4005,113457,63.4,57.9,8.3
4013,3256158,63.1,59.4,5.6
4015,172689,45.1,41.4,8.2
4017,81031,46.8,39.6,15.5
4019,817168,57.9,52.6,8.3
4021,320226,47.0,42.4,9.6
4025,188960,47.6,44.8,6.0
4027,158011,54.3,45.6,12.5
5007,190715,63.9,61.9,2.9
5031,82007,63.1,59.0,6.3
5045,96725,62.3,57.7,5.7
5051,80176,54.7,51.3,6.1
5069,56865,54.4,48.3,11.2
5085,54662,59.6,57.1,2.8
5119,309236,62.5,58.4,5.2
5125,92321,63.1,60.9,3.5
5131,100511,55.5,52.9,4.5
5143,174954,64.1,60.7,5.2
5145,62950,55.4,50.8,8.3
6001,1327805,66.6,63.0,5.3
6007,184984,55.9,50.1,10.5
6013,895368,64.0,59.9,6.4
6017,151602,57.8,52.7,8.7
6019,725355,60.8,54.8,9.9
6023,111812,57.0,52.9,7.2
6025,134465,53.9,44.6,16.5
6029,651998,59.8,52.9,11.0
6031,113391,54.9,46.6,8.8
6033,53235,50.9,46.1,9.4
6037,8156954,63.8,59.2,7.2
6039,117782,52.9,49.5,6.3
6041,213603,63.2,60.9,3.5
6045,71413,57.9,50.7,12.1
6047,198216,56.4,49.7,12.0
6053,331326,60.2,55.0,5.7
6055,115251,64.1,61.3,4.4
6057,83817,53.7,49.1,8.2
6059,2539295,65.1,61.4,5.5
6061,301192,59.1,55.3,6.0
6065,1822118,59.7,53.8,9.6
6067,1179562,62.1,56.9,8.3
6071,1623748,60.5,54.0,9.5
6073,2652326,65.4,58.5,6.9
6075,760939,70.2,66.5,5.1
6077,548879,60.0,53.3,11.1
6079,236308,58.2,54.5,4.9
6081,620495,68.0,64.6,5.0
6083,356206,64.7,60.1,6.2
6085,1529507,66.8,63.2,5.3
6087,226071,61.6,58.4,5.1
6089,145944,52.5,49.6,5.7
6095,348462,62.1,55.6,8.7
6097,411102,64.8,60.8,5.8
6099,408949,59.6,52.8,11.3
6101,73811,58.0,49.8,12.5
6107,330900,56.7,51.4,9.3
6111,672407,65.1,60.3,6.7
6113,172396,61.5,56.5,7.9
6115,56360,57.2,50.5,9.1
8001,369873,70.5,66.7,5.3
8005,494909,71.2,67.1,5.2
8013,263957,68.8,65.2,5.2
8014,51324,73.7,71.0,3.7
8031,552635,70.7,67.4,4.5
8035,242220,73.7,71.2,3.2
8041,526963,67.5,58.5,6.3
8059,462515,69.5,66.4,4.4
8069,273136,67.5,63.9,5.2
8077,119434,62.7,57.9,7.4
8101,130047,56.0,50.4,9.7
8123,216693,67.3,64.3,4.5
9001,754903,67.8,62.6,7.7
9003,727201,66.1,61.5,7.0
9005,151883,67.5,63.6,5.7
9007,137066,67.8,63.9,5.6
9009,704794,65.3,60.7,6.9
9011,223781,66.9,58.7,8.1
9013,128122,68.2,64.8,5.0
9015,95127,67.2,64.0,4.6
10001,138948,60.6,55.6,5.5
10003,448300,65.9,62.1,5.7
10005,178002,55.2,51.6,6.4
11001,564206,69.8,64.0,7.3
12001,218228,58.9,55.7,5.4
12005,145895,61.7,56.3,5.2
12009,476378,54.4,50.8,6.1
12011,1535382,66.7,61.4,7.8
12015,153663,43.9,40.3,8.3
12017,122740,40.1,36.2,9.7
12019,161288,62.0,54.5,10.3
12021,300290,53.1,50.6,4.8
12023,55241,53.6,48.4,9.6
12031,724401,66.0,59.9,7.0
12033,254546,61.4,53.8,6.6
12035,88756,47.7,43.6,8.6
12053,149240,46.7,42.6,8.8
12055,84228,41.6,38.0,8.6
12057,1072845,64.3,59.4,6.8
12061,124878,46.8,42.0,10.0
12069,268808,50.9,48.2,5.3
12071,587162,50.9,47.2,7.1
12073,237962,65.6,59.7,9.0
12081,302042,52.8,49.1,6.9
12083,286389,43.9,38.8,11.6
12085,132859,51.8,49.4,4.8
12086,2204515,61.3,57.2,6.6
12087,67350,63.5,60.5,3.1
12089,64595,55.7,50.8,8.0
12091,159032,64.5,54.6,7.5
12095,1029223,67.8,63.7,6.1
12097,253890,60.9,56.6,6.9
12099,1179142,59.6,55.4,6.9
12101,409077,53.2,49.7,6.4
12103,809342,58.6,55.1,5.8
12105,518961,54.6,49.9,8.5
12107,58057,49.0,42.6,12.9
12109,182828,59.2,55.6,6.0
12111,244748,53.9,49.3,8.5
12113,134031,59.6,54.0,6.4
12115,352611,48.0,45.0,6.2
12117,365664,64.8,59.6,7.4
12119,111323,22.9,21.7,5.2
12127,436686,51.2,48.0,6.1
13013,56971,62.7,57.5,8.3
13015,80321,59.8,57.6,3.7
13021,119481,56.4,51.5,8.2
13031,59694,56.7,53.1,6.2
13045,91218,60.9,54.7,10.2
13047,53358,61.6,57.9,5.9
13051,230171,65.6,58.0,9.3
13057,183013,68.4,65.7,3.9
13059,104398,59.2,55.3,6.4
13063,204989,66.4,59.2,10.6
13067,579458,70.5,66.3,5.9
13073,111868,62.8,55.7,6.9
13077,107246,64.9,61.4,5.5
13089,577888,69.5,63.8,8.2
13095,71608,56.5,47.2,15.8
13097,107458,66.4,60.6,8.8
13113,88748,61.2,59.0,3.4
13115,76222,56.7,52.4,7.6
13117,158861,68.9,65.5,4.8
13121,802657,68.2,63.3,7.0
13127,66677,59.5,56.8,4.6
13135,680966,68.6,64.4,5.9
13139,149148,61.4,58.2,5.0
13151,169574,62.0,57.3,7.4
13153,114600,66.6,58.5,9.5
