ID,Population,Labor Part.,Employment,Unemployment
1003,153467,60.4,54.9,8.8
1015,93505,58.5,49.4,15.4
1043,64730,59.1,54.7,7.5
1049,55288,53.3,48.9,8.1
1051,64378,62.4,58.4,6.2
1055,83471,52.7,46.5,11.7
1069,81272,59.0,54.2,7.6
1073,523250,60.6,54.9,9.3
1077,75206,57.0,50.7,10.8
1081,118260,63.0,57.7,6.8
1083,69198,61.1,55.8,8.5
1089,272631,65.7,59.5,8.8
1095,73391,56.5,51.0,9.7
1097,323273,58.1,51.0,11.7
1101,179076,60.8,54.0,9.6
1103,95249,62.4,54.0,13.5
1115,67542,60.4,54.4,10.0
1117,156621,68.0,64.2,5.7
1121,65461,55.0,47.4,13.7
1125,161011,58.6,54.2,7.4
1127,53478,52.5,46.2,12.0
2020,231715,73.9,66.4,6.5
2090,78067,72.2,59.4,7.1
2170,70677,64.4,57.2,10.4
4001,53298,44.3,36.6,17.4
4003,105859,51.3,41.4,10.5
4005,108860,65.7,60.3,8.2
4013,3040605,63.8,58.2,8.6
4015,168531,44.3,37.5,15.4
4017,79912,50.8,39.8,21.5
4019,794157,59.4,52.6,10.4
4021,298530,53.0,46.4,12.4
4025,179519,51.2,45.6,10.9
4027,151920,55.2,44.9,14.5
5007,173507,64.5,61.3,4.7
5031,77598,65.2,61.2,6.1
5045,92824,68.7,63.8,6.9
5051,79995,56.2,50.7,9.6
5069,58964,53.0,48.1,9.2
5085,52458,66.8,59.1,9.0
5119,305802,63.1,56.8,8.9
5125,87408,64.8,61.5,5.0
5131,98710,60.1,56.6,5.3
5143,162549,65.8,60.6,7.8
5145,62246,55.9,52.1,6.1
6001,1250619,66.6,59.7,10.1
6007,182451,55.7,47.2,15.0
6013,850080,64.5,58.6,9.0
6017,147893,63.0,55.6,11.7
6019,700526,61.0,51.3,15.7
6023,111543,58.8,52.8,9.9
6025,132810,53.3,42.3,19.5
6029,627772,59.5,51.0,14.0
6031,114101,56.4,44.5,16.5
6033,52309,55.9,45.5,18.6
6037,7890145,64.6,57.1,11.6
6039,113528,51.8,46.7,9.8
6041,209185,65.9,61.2,7.0
6045,69959,59.3,52.5,11.4
6047,190901,60.8,50.3,17.2
6053,324859,63.3,55.9,9.2
6055,111683,66.8,60.2,9.6
6057,83167,57.1,50.9,10.0
6059,2443844,66.6,60.5,9.0
6061,287004,62.1,55.0,10.9
6065,1719576,60.5,51.3,14.7
6067,1130261,63.5,54.4,14.2
6071,1566388,59.9,51.1,13.7
6073,2536682,64.8,55.7,9.6
6075,727186,68.2,62.9,7.7
6077,523060,61.4,51.6,16.0
6079,228704,60.8,55.8,6.9
6081,594644,69.2,63.8,7.8
6083,343991,62.0,55.8,9.2
6085,1448503,66.8,61.0,8.7
6087,218080,67.0,61.6,8.1
6089,144489,54.9,48.4,11.8
6095,334140,64.3,54.1,13.6
6097,399578,64.7,58.4,9.5
6099,393712,62.1,51.3,17.2
6101,72560,60.5,51.5,12.9
6107,322615,61.1,52.8,13.6
6111,651101,67.6,60.2,10.1
6113,165976,62.2,55.3,10.9
6115,54612,59.8,45.5,17.6
8001,342537,70.8,64.7,8.5
8005,462741,71.0,64.8,8.4
8013,250346,70.3,65.7,6.5
8031,508571,70.9,65.7,7.2
8035,220452,73.2,69.2,5.3
8041,498511,68.3,56.7,9.4
8059,441996,70.0,64.9,7.2
8069,254128,69.0,63.6,7.7
8077,117733,64.3,58.6,9.0
8101,126913,58.5,51.8,11.2
8123,198211,68.5,63.4,7.3
9001,735459,68.6,62.1,9.5
9003,722776,66.9,60.0,10.3
9005,154058,70.7,65.0,8.1
9007,136887,69.3,64.7,6.6
9009,697550,66.5,58.9,11.4
9011,224650,68.3,59.5,8.8
9013,126411,67.1,62.5,6.7
9015,95739,66.5,60.4,8.9
10001,131200,63.1,55.0,10.9
10003,436173,66.1,60.5,8.3
10005,167108,59.6,54.6,8.3
11001,533647,69.0,61.3,10.3
12001,211723,58.6,53.8,8.0
12005,137498,64.0,56.0,10.9
12009,455985,57.1,49.1,13.5
12011,1469627,67.2,59.2,11.8
12015,143051,43.6,38.5,11.6
12017,121811,42.9,36.3,15.4
12019,152004,63.5,55.7,11.3
12021,277491,53.5,48.9,8.6
12023,54494,55.7,44.2,20.6
12031,697219,65.3,56.2,12.2
12033,246387,61.1,50.4,10.7
12035,82306,46.9,41.1,12.3
12053,144205,45.2,36.6,18.9
12055,82466,42.0,35.2,16.0
12057,1013411,65.4,58.1,10.7
12061,117025,50.9,42.1,17.2
12069,248860,52.3,45.6,12.7
12071,535865,53.9,47.1,12.5
12073,237706,67.2,59.5,11.4
12081,274438,56.2,50.4,10.2
12083,278972,48.1,41.5,13.6
12085,126137,51.5,44.0,14.6
12086,2108889,62.8,55.2,11.9
12087,65268,64.2,58.3,8.1
12089,61352,53.0,46.7,11.3
12091,152187,66.4,56.1,7.5
12095,958537,68.9,61.1,11.2
12097,222534,65.1,57.2,12.2
12099,1117341,59.8,53.4,10.6
12101,383994,52.5,46.4,11.3
12103,781248,58.9,52.9,10.0
12105,490501,55.1,47.5,13.8
12107,58662,48.1,42.0,12.4
12109,163061,63.9,58.1,8.7
12111,230108,56.4,48.2,14.4
12113,125853,63.0,54.7,8.1
12115,334841,51.4,45.5,11.5
12117,347638,65.8,58.6,10.9
12119,N,N,N,N
12127,416665,51.1,45.7,10.4
13013,52441,66.6,59.0,11.4
13015,76521,63.9,56.0,12.1
13021,120890,58.4,51.8,11.2
13031,59792,55.9,50.1,10.3
13045,86836,63.0,55.2,12.4
13047,51438,63.5,54.3,14.5
13051,221302,63.1,55.4,9.8
13057,169073,68.0,62.8,7.6
13059,100519,59.9,53.4,10.4
13063,197982,65.8,54.6,17.0
13067,550193,71.9,65.0,9.3
13073,100876,65.1,57.5,8.7
13077,100004,66.7,59.7,10.5
13089,553115,68.7,59.8,12.8
13095,72777,59.8,46.5,21.6
13097,101126,66.4,59.4,10.5
13113,85683,65.0,59.5,8.4
13115,75253,58.6,50.3,13.8
13117,138396,67.7,62.8,7.0
13121,773170,67.5,59.4,12.0
13127,63368,64.7,57.5,10.7
13135,630750,68.6,62.0,9.4
13139,139901,62.5,56.7,9.3
13151,158953,66.4,57.9,12.2
