ID,Population,Labor Part.,Employment,Unemployment
1003,145994,59.3,52.9,10.5
1015,94819,53.7,45.1,15.9
1043,63513,56.3,48.0,14.7
1049,54385,59.6,51.4,13.8
1051,63302,59.5,55.1,6.6
1055,83957,53.4,46.0,13.8
1069,80119,61.7,56.8,7.1
1073,523376,62.8,55.3,11.8
1077,74590,58.4,53.1,9.1
1081,112657,64.7,56.6,11.4
1083,65140,60.3,52.8,11.8
1089,265426,67.4,58.9,11.3
1095,72071,60.1,54.7,8.5
1097,323741,60.8,52.7,13.1
1101,180410,61.2,54.9,8.7
1103,94329,63.7,56.4,11.4
1115,66095,60.3,54.5,9.0
1117,150890,70.2,64.4,8.2
1121,65027,54.9,44.2,19.6
1125,157220,59.5,54.5,8.5
1127,53639,51.6,40.5,20.7
2020,225829,74.6,63.9,8.5
2090,75434,73.2,60.2,9.7
2170,66708,66.4,58.9,10.2
4001,51921,45.6,34.0,25.3
4003,105288,55.5,46.0,10.6
4005,106479,63.7,55.9,12.3
4013,2928222,64.6,57.2,11.2
4015,164365,51.9,44.1,14.9
4017,78758,51.1,42.5,16.6
4019,784314,60.0,52.6,11.5
4021,291987,53.7,45.5,14.9
4025,175227,50.2,45.1,9.9
4027,147563,56.7,46.5,14.8
5007,167075,65.3,61.0,6.4
5031,75631,62.7,55.8,11.0
5045,88333,65.0,60.1,6.9
5051,77992,54.1,48.1,11.1
5069,61014,59.4,48.2,18.6
5085,52048,69.1,59.8,10.5
5119,302050,65.5,58.8,8.6
5125,85266,62.5,58.0,7.0
5131,97949,62.0,56.4,8.4
5143,157704,67.6,61.2,9.4
5145,60748,58.4,53.6,7.9
6001,1211230,65.8,57.7,12.1
6007,180131,57.5,48.9,14.8
6013,823316,66.4,58.3,12.0
6017,144955,61.6,54.2,12.0
6019,688488,62.4,52.9,15.2
6023,110519,62.8,55.5,11.5
6025,129452,55.1,43.7,20.5
6029,618087,59.0,50.3,14.6
6031,114529,55.8,45.8,12.3
6033,52788,49.1,38.6,21.4
6037,7728674,64.9,56.8,12.4
6039,113545,55.1,47.8,13.3
6041,206320,64.2,57.9,9.7
6045,70211,59.3,51.1,13.7
6047,185041,62.2,50.8,18.2
6053,316933,64.7,55.5,11.4
6055,108400,64.4,58.1,9.6
6057,82069,59.6,52.0,12.7
6059,2373332,67.0,59.6,11.0
6061,273861,62.5,55.4,11.2
6065,1656417,61.9,51.6,16.3
6067,1099344,63.7,54.2,14.9
6071,1521715,63.1,52.0,16.2
6073,2465928,64.7,54.7,11.3
6075,709774,69.2,62.9,9.0
6077,510586,62.8,51.9,17.4
6079,225341,59.0,51.9,11.8
6081,578119,68.8,62.7,8.9
6083,337998,63.1,55.4,11.2
6085,1401794,67.0,59.5,11.2
6087,214682,60.8,54.7,10.0
6089,142701,53.2,44.9,15.5
6095,325128,65.3,55.6,13.3
6097,391358,66.6,58.2,12.4
6099,385263,62.4,51.6,17.1
6101,71698,62.3,50.1,17.8
6107,315069,64.4,53.7,16.4
