,Unnamed: 0,ID,Population,Labor Part.,Employment,Unemployment,YEAR,AGE,SEX2,HISPAN2,MIGRATE1,PERWT,Total_weighted
46,46,8041,451040,70.8,61.4,6.6,2007,26.142857142857146,0.35714285714285715,0.5,14.0,2036.0,28504.0
47,47,8123,184191,71.5,68.4,4.3,2007,35.0,1.0,1.0,1.0,150.0,150.0
48,48,9001,697918,67.2,63.4,5.6,2007,27.48275862068965,0.7241379310344828,0.7241379310344828,29.0,3236.0,93844.0
49,49,9003,698870,67.7,63.1,6.6,2007,33.411764705882355,0.6470588235294118,0.7058823529411765,17.0,2100.0,35700.0
50,50,9005,152663,69.9,66.1,5.4,2007,16.0,0.5,0.25,4.0,710.0,2840.0
51,51,9007,132781,70.0,67.5,3.5,2007,31.0,0.5,1.0,2.0,287.0,574.0
52,52,9009,673407,67.3,62.6,6.9,2007,29.40909090909091,0.4090909090909091,0.8636363636363636,22.0,2541.0,55902.0
53,53,9011,214325,67.2,60.7,5.0,2007,23.42857142857143,0.8571428571428571,0.14285714285714285,7.0,1214.0,8498.0
54,54,9013,122078,68.8,65.6,4.6,2007,28.8,0.4,1.0,5.0,664.0,3320.0
55,55,9015,94744,71.2,65.9,7.4,2007,27.0,1.0,0.0,1.0,106.0,106.0
56,56,10001,117932,61.8,56.7,6.3,2007,51.66666666666666,0.6666666666666666,0.3333333333333333,3.0,302.0,906.0
57,57,10003,415829,67.6,63.8,5.4,2007,31.0,0.4761904761904762,0.8571428571428571,21.0,2272.0,47712.0
58,58,10005,149207,59.3,56.0,5.5,2007,14.636363636363635,0.2727272727272727,0.4545454545454545,11.0,431.0,4741.0
59,59,12001,199411,59.3,56.5,4.7,2007,35.5,0.25,0.875,8.0,754.0,6032.0
60,60,12005,129932,66.3,59.5,4.8,2007,35.0,0.0,0.0,1.0,47.0,47.0
61,61,12009,442461,59.2,55.0,6.5,2007,36.2,0.6,0.7333333333333333,15.0,1865.0,27975.0
62,62,12011,1394454,66.2,62.0,6.2,2007,36.9009900990099,0.5247524752475248,0.7128712871287128,101.0,11882.0,1200082.0
63,63,12015,132411,48.9,45.7,6.5,2007,44.0,0.5,0.3333333333333333,6.0,456.0,2736.0
64,64,12019,142303,68.5,62.1,7.4,2007,17.0,1.0,1.0,1.0,65.0,65.0
65,65,12021,256023,55.8,52.7,5.5,2007,39.8125,0.3125,0.8125,16.0,2980.0,47680.0
66,66,12033,245766,61.0,50.7,9.4,2007,15.333333333333336,0.3333333333333333,1.0,3.0,404.0,1212.0
67,67,12053,140216,51.9,47.5,8.3,2007,47.0,0.5,1.0,2.0,543.0,1086.0
68,68,12057,914832,67.7,62.8,6.7,2007,36.717948717948715,0.5128205128205128,0.7435897435897436,39.0,4083.0,159237.0
69,69,12069,248040,52.1,48.7,6.2,2007,49.75,0.5,1.0,4.0,420.0,1680.0
70,70,12071,479644,58.5,54.7,6.5,2007,30.52173913043478,0.5217391304347826,0.6086956521739131,23.0,2705.0,62215.0
71,71,12081,255448,58.1,54.6,5.9,2007,35.333333333333336,0.6,0.9333333333333332,15.0,1972.0,29580.0
72,72,12083,267108,52.0,48.5,6.6,2007,41.142857142857146,0.5714285714285714,0.5714285714285714,7.0,469.0,3283.0
73,73,12085,117492,57.5,52.9,7.8,2007,30.0,0.4615384615384616,0.6153846153846154,13.0,1536.0,19968.0
74,74,12091,143243,67.1,59.2,4.5,2007,18.0,0.0,0.0,1.0,70.0,70.0
75,75,12095,826673,70.1,65.9,5.8,2007,34.196078431372555,0.4901960784313725,0.6666666666666666,51.0,6722.0,342822.0
76,76,12097,196905,65.9,62.5,5.1,2007,29.88888888888889,0.3888888888888889,0.6666666666666666,18.0,1467.0,26406.0
77,77,12099,1031012,59.3,55.7,6.0,2007,35.71621621621622,0.472972972972973,0.6621621621621622,74.0,8625.0,638250.0
78,78,12101,377005,56.0,51.7,7.6,2007,52.9375,0.5625,0.9375,16.0,1526.0,24416.0
79,79,12103,766042,60.0,56.7,5.3,2007,36.526315789473685,0.631578947368421,0.8421052631578947,19.0,1394.0,26486.0
80,80,12105,451498,59.0,55.1,6.5,2007,34.1578947368421,0.6842105263157895,0.6842105263157895,19.0,1303.0,24757.0
81,81,12109,142969,62.2,58.2,5.7,2007,24.222222222222207,0.5555555555555556,0.8888888888888888,9.0,1066.0,9594.0
82,82,12111,208320,57.8,53.2,7.8,2007,31.75,0.75,0.5,4.0,215.0,860.0
83,83,12113,117309,60.5,53.2,8.8,2007,47.25,1.0,1.0,4.0,628.0,2512.0
84,84,12115,318221,52.5,49.1,6.4,2007,39.35,0.6,0.6,20.0,2128.0,42560.0
85,85,12117,326414,68.2,64.0,5.8,2007,39.857142857142854,0.5,0.5,14.0,1045.0,14630.0
86,86,12127,413830,57.5,54.1,5.8,2007,40.0,0.5454545454545454,1.0,11.0,1753.0,19283.0
87,87,13051,192128,62.2,58.6,4.4,2007,27.714285714285715,0.42857142857142855,0.7142857142857143,7.0,952.0,6664.0
88,88,13057,150408,72.5,68.5,5.5,2007,19.666666666666668,1.0,0.0,3.0,499.0,1497.0
89,89,13063,199464,71.3,64.3,9.4,2007,22.83333333333333,0.3333333333333333,0.5,6.0,486.0,2916.0
90,90,13067,530291,71.4,67.1,5.8,2007,33.294117647058826,0.4117647058823529,0.8235294117647058,17.0,2504.0,42568.0
91,91,13089,578734,71.2,64.4,9.4,2007,27.378378378378372,0.32432432432432434,0.8108108108108109,37.0,6211.0,229807.0
92,92,13121,769471,69.6,64.4,7.3,2007,28.735294117647058,0.5294117647058824,0.8529411764705882,34.0,4501.0,153034.0
93,93,13135,573816,73.3,68.7,6.2,2007,32.20689655172413,0.5862068965517241,0.4482758620689655,29.0,3688.0,106952.0
94,94,13139,133710,66.3,63.1,4.8,2007,23.857142857142854,0.2857142857142857,0.0,7.0,850.0,5950.0
95,95,13151,135802,72.3,68.2,5.3,2007,45.0,0.0,0.75,4.0,180.0,720.0
96,96,16001,284253,71.0,67.7,4.4,2007,23.0,0.6363636363636364,1.0,11.0,1088.0,11968.0
97,97,16027,128326,65.9,61.2,6.9,2007,21.83333333333333,0.5,0.5,6.0,770.0,4620.0
98,98,17019,155526,67.2,62.9,6.3,2007,23.95,0.45,0.8,20.0,1873.0,37460.0
99,99,17031,4119134,65.8,60.6,8.0,2007,28.90366972477064,0.5045871559633027,0.6926605504587156,218.0,35572.0,7754696.0
100,100,17043,725680,70.5,67.0,4.9,2007,39.0,0.6363636363636364,0.7272727272727273,22.0,2592.0,57024.0
101,101,17091,85713,63.0,58.5,7.1,2007,35.0,0.0,0.0,1.0,92.0,92.0
102,102,17097,536238,72.0,65.4,7.0,2007,31.857142857142854,0.7142857142857143,0.7142857142857143,21.0,2519.0,52899.0
103,103,17099,89764,63.8,58.9,7.4,2007,1.0,1.0,1.0,1.0,88.0,88.0
104,104,17113,131261,69.8,65.8,5.6,2007,23.5,1.0,1.0,2.0,141.0,282.0
105,105,18003,265630,68.8,64.4,6.2,2007,23.0,0.6666666666666666,1.0,3.0,321.0,963.0
106,106,18035,94984,60.6,54.1,10.7,2007,23.5,0.5,1.0,2.0,175.0,350.0
107,107,18081,106259,66.8,63.9,3.9,2007,79.0,1.0,1.0,1.0,94.0,94.0
108,108,18089,380271,63.5,58.2,8.3,2007,32.75,0.75,1.0,4.0,471.0,1884.0
109,109,18091,87178,61.5,57.2,7.0,2007,40.0,1.0,0.0,2.0,109.0,218.0
110,110,18097,668403,68.7,63.5,7.4,2007,26.51851851851852,0.2962962962962963,0.7037037037037037,27.0,4113.0,111051.0
111,111,18105,108778,59.1,55.1,6.4,2007,25.13333333333333,0.3333333333333333,1.0,15.0,1521.0,22815.0
112,112,18127,126885,66.9,62.5,6.4,2007,77.0,0.5,1.0,2.0,256.0,512.0
113,113,18141,206296,64.1,60.2,6.0,2007,35.25,0.5,0.75,4.0,708.0,2832.0
114,114,19013,102391,64.4,59.7,7.1,2007,1.0,0.0,1.0,1.0,99.0,99.0
115,115,19103,102692,72.8,70.7,2.8,2007,27.5,0.5,1.0,2.0,374.0,748.0
116,116,19153,319742,73.8,69.6,5.5,2007,22.4,0.6,1.0,5.0,718.0,3590.0
117,117,19163,126151,68.9,65.2,5.4,2007,35.5,0.5,0.75,4.0,809.0,3236.0
118,118,19193,77635,67.8,63.0,6.9,2007,18.0,0.75,0.0,4.0,655.0,2620.0
119,119,20091,403859,75.0,72.0,3.9,2007,25.16666666666667,0.5,0.9166666666666666,12.0,2249.0,26988.0
120,120,20209,113941,66.2,58.4,11.7,2007,26.0,0.4,0.4,5.0,759.0,3795.0
121,121,21067,224211,68.2,65.7,3.6,2007,23.5,0.16666666666666666,0.8333333333333334,6.0,683.0,4098.0
122,122,21111,558411,65.7,61.2,6.8,2007,27.73333333333333,0.5666666666666667,0.7666666666666667,30.0,2887.0,86610.0
123,123,22071,200750,59.4,52.5,11.5,2007,35.0,0.0,0.0,3.0,523.0,1569.0
124,124,22073,113805,60.9,57.3,5.9,2007,38.0,1.0,1.0,1.0,101.0,101.0
125,125,23001,85672,66.1,61.4,6.7,2007,25.0,0.0,1.0,1.0,174.0,174.0
126,126,24003,402975,69.1,64.2,4.9,2007,26.8,0.8,0.4,5.0,480.0,2400.0
127,127,24005,634433,67.1,63.6,5.1,2007,29.87878787878788,0.7272727272727273,0.9696969696969696,33.0,2789.0,92037.0
128,128,24017,107046,75.2,69.8,4.3,2007,22.0,0.5,0.5,2.0,180.0,360.0
129,129,24021,173406,72.4,69.5,3.8,2007,34.0,0.4444444444444444,0.8888888888888888,9.0,1118.0,10062.0
130,130,24025,186831,69.5,64.1,3.4,2007,22.75,0.5,0.25,4.0,200.0,800.0
131,131,24027,212262,72.5,69.6,3.5,2007,33.153846153846146,0.6153846153846154,1.0,13.0,1229.0,15977.0
132,132,24031,730604,71.7,68.6,3.9,2007,27.48387096774193,0.4946236559139785,0.8387096774193549,93.0,13442.0,1250106.0
133,133,24033,646052,73.0,67.2,7.4,2007,35.85,0.55,0.85,20.0,2611.0,52220.0
134,134,24043,115438,66.3,63.1,4.6,2007,29.25,0.75,0.75,4.0,680.0,2720.0
135,135,24510,501220,60.2,54.1,10.1,2007,25.294117647058826,0.35294117647058826,0.8823529411764706,17.0,1675.0,28475.0
136,136,25009,579266,66.6,62.7,5.8,2007,34.0,0.8571428571428571,0.42857142857142855,7.0,929.0,6503.0
137,137,25025,588690,66.9,61.5,8.1,2007,27.01694915254237,0.4915254237288136,0.8474576271186439,59.0,10419.0,614721.0
138,138,26021,126130,62.1,58.0,6.6,2007,40.0,0.5,1.0,2.0,160.0,320.0
139,139,26025,107037,59.9,55.2,7.7,2007,25.5,0.5,0.0,4.0,402.0,1608.0
140,140,26081,458327,70.2,64.9,7.5,2007,24.11111111111111,0.6666666666666666,0.6666666666666666,9.0,1505.0,13545.0
141,141,26099,660044,66.4,59.9,9.7,2007,37.0,0.9,1.0,10.0,2194.0,21940.0
142,142,26115,121670,65.1,59.2,8.9,2007,65.0,0.0,1.0,1.0,93.0,93.0
143,143,26121,135902,61.4,53.7,12.3,2007,11.5,0.0,0.5,2.0,122.0,244.0
144,144,26125,954886,67.3,62.3,7.3,2007,33.30232558139535,0.5348837209302325,0.8837209302325582,43.0,6709.0,288487.0
145,145,26139,200374,69.5,65.4,5.9,2007,20.0,0.0,1.0,2.0,102.0,204.0
146,146,26161,283024,66.8,62.4,6.5,2007,29.93333333333333,0.5333333333333333,0.8666666666666667,15.0,2063.0,30945.0
147,147,26163,1526340,59.7,51.3,14.0,2007,34.138888888888886,0.4166666666666667,0.9166666666666666,36.0,5231.0,188316.0
148,148,27003,250603,75.4,71.0,5.8,2007,32.7,0.6,1.0,10.0,1867.0,18670.0
149,149,27037,297805,77.2,72.8,5.6,2007,17.75,0.75,1.0,4.0,749.0,2996.0
150,150,27053,901037,72.5,68.3,5.7,2007,30.9375,0.46875,0.875,32.0,8442.0,270144.0
151,151,27109,108424,71.6,70.0,2.4,2007,18.0,0.5,1.0,2.0,239.0,478.0
152,152,27123,393287,68.8,64.1,6.6,2007,36.0,0.5,1.0,8.0,1879.0,15032.0
153,153,27137,163137,63.1,58.6,6.9,2007,19.5,0.5,1.0,4.0,526.0,2104.0
154,154,27163,173742,74.6,71.6,3.8,2007,22.0,0.3333333333333333,1.0,3.0,472.0,1416.0
155,155,28033,110286,73.6,69.8,5.1,2007,17.5,0.0,0.0,2.0,457.0,914.0
156,156,28047,135576,65.5,57.1,8.5,2007,21.428571428571427,0.14285714285714285,0.2857142857142857,7.0,916.0,6412.0
