ID,COUNTYFIPS,STATEFIP,YEAR,AGE,SEX2,HISPAN2,MIGRATE1,PERWT
06001,001,06,2009,35.80263157894737,0.5526315789473685,0.881578947368421,76,8747
06001,001,06,2010,31.555555555555557,0.5656565656565656,0.8686868686868687,99,11697
09001,001,09,2009,31.68888888888889,0.6,0.7333333333333333,45,5052
09001,001,09,2010,33.64705882352941,0.6176470588235294,0.7647058823529411,34,5248
10001,001,10,2010,20.0,0.0,1.0,1,170
12001,001,12,2009,34.666666666666664,0.6666666666666666,0.9166666666666666,12,1160
12001,001,12,2010,28.733333333333334,0.4666666666666667,0.8666666666666667,30,3070
16001,001,16,2009,21.142857142857142,0.6190476190476191,0.9047619047619048,21,4574
16001,001,16,2010,24.5,0.16666666666666666,0.6666666666666666,6,735
23001,001,23,2009,26.5,1.0,1.0,2,447
34001,001,34,2009,33.6,0.4666666666666667,0.6666666666666666,15,2198
34001,001,34,2010,28.25,0.75,0.5,4,860
35001,001,35,2009,27.5,0.5,0.375,16,2424
35001,001,35,2010,25.2,0.6,0.2,5,684
36001,001,36,2009,50.8,0.6,1.0,5,503
36001,001,36,2010,22.571428571428573,0.5714285714285714,0.7142857142857143,7,1023
37001,001,37,2009,21.8,0.5,0.9,10,1451
37001,001,37,2010,16.0,0.0,1.0,1,119
01003,003,01,2010,31.0,1.0,1.0,1,143
09003,003,09,2009,27.0,0.7142857142857143,0.9523809523809523,21,2519
09003,003,09,2010,32.3,0.6333333333333333,0.9666666666666667,30,3559
10003,003,10,2009,22.583333333333332,0.25,0.9166666666666666,12,969
10003,003,10,2010,27.8,0.4,0.6,5,632
18003,003,18,2009,25.0,0.2,0.8,5,812
18003,003,18,2010,25.3,0.5,1.0,10,1482
24003,003,24,2009,33.357142857142854,0.5714285714285714,0.5,14,1042
24003,003,24,2010,30.625,0.875,0.875,8,780
27003,003,27,2009,25.142857142857142,0.8571428571428571,1.0,7,1569
27003,003,27,2010,47.0,0.0,1.0,1,702
32003,003,32,2009,32.36065573770492,0.47540983606557374,0.7049180327868853,61,7576
32003,003,32,2010,31.620253164556964,0.569620253164557,0.7848101265822784,79,9693
34003,003,34,2009,32.8421052631579,0.42105263157894735,0.8947368421052632,38,4372
34003,003,34,2010,31.952380952380953,0.5238095238095238,0.9047619047619048,42,4082
42003,003,42,2009,28.85185185185185,0.4444444444444444,0.8518518518518519,27,3407
42003,003,42,2010,26.85185185185185,0.5185185185185185,1.0,27,3079
44003,003,44,2009,19.5,0.5,1.0,2,188
45003,003,45,2010,23.2,0.6,0.8,5,464
04005,005,04,2009,20.5,1.0,1.0,2,148
04005,005,04,2010,24.4,0.2,1.0,5,539
09005,005,09,2009,41.0,0.5,0.5,2,223
09005,005,09,2010,21.0,0.0,1.0,2,184
10005,005,10,2009,30.642857142857142,0.21428571428571427,0.35714285714285715,14,3326
10005,005,10,2010,25.0,0.0,0.0,1,318
12005,005,12,2009,32.666666666666664,0.6666666666666666,0.3333333333333333,3,190
12005,005,12,2010,35.5,1.0,0.5,2,163
24005,005,24,2009,31.94736842105263,0.47368421052631576,0.8947368421052632,19,2356
24005,005,24,2010,31.037037037037038,0.5925925925925926,0.8888888888888888,27,3612
34005,005,34,2009,41.2,0.7,0.9,10,1096
34005,005,34,2010,36.0,0.8333333333333334,1.0,6,527
36005,005,36,2009,37.64705882352941,0.38235294117647056,0.38235294117647056,34,4485
36005,005,36,2010,30.41509433962264,0.5471698113207547,0.33962264150943394,53,9849
