ID,Population,Labor Part.,Employment,Unemployment
1003,160204,58.9,54.5,7.2
1015,93147,57.8,51.7,10.4
1043,64854,50.6,47.4,5.7
1049,55547,51.1,48.6,4.8
1051,64514,55.3,49.0,9.6
1055,83571,57.6,51.5,10.4
1069,82477,56.3,51.4,8.6
1073,525561,61.3,55.9,8.8
1077,75582,57.9,53.2,8.1
1081,124554,59.3,55.0,6.5
1083,71734,58.2,53.1,8.3
1089,280615,64.6,59.4,7.5
1095,73811,55.3,51.4,7.0
1097,327918,57.0,52.2,7.9
1101,179021,63.1,55.9,9.8
1103,94455,58.9,55.6,5.6
1115,68612,61.8,58.1,5.8
1117,162388,66.5,62.6,5.8
1121,65751,53.1,46.7,12.0
1125,164202,58.6,54.1,7.6
1127,52819,53.7,49.1,8.5
2020,233479,73.5,65.6,5.7
2090,78042,72.8,59.3,9.1
2170,73795,62.7,56.6,8.5
4001,53408,40.9,34.5,15.7
4003,101765,51.5,42.7,8.6
4005,110882,63.0,58.0,7.7
4013,3177041,62.9,58.5,6.8
4015,169731,44.4,39.2,11.8
4017,80529,48.7,38.1,21.7
4019,809213,59.2,53.3,9.1
4021,314909,49.4,45.3,8.2
4025,186383,47.0,42.2,10.2
4027,155461,56.0,48.4,10.6
5007,183996,62.8,60.7,3.4
5031,79941,60.7,57.8,4.7
5045,95691,64.2,59.9,6.7
5051,78916,55.4,49.9,9.9
5069,57634,52.9,47.3,10.5
5085,54512,65.5,60.7,4.7
5119,310403,63.2,58.4,6.5
5125,91164,61.5,58.1,5.5
5131,99294,60.6,57.1,5.9
5143,173021,66.1,62.2,5.7
5145,62219,55.5,51.6,6.5
6001,1303902,66.1,61.5,6.7
6007,184285,55.2,49.8,9.6
6013,880138,64.2,59.1,7.9
6017,150238,58.1,53.2,8.1
6019,715954,60.1,53.1,11.6
6023,111141,59.1,53.0,10.0
6025,133970,52.8,42.9,18.4
6029,645713,57.3,50.8,11.0
6031,113540,52.2,43.5,9.9
6033,52324,48.1,41.4,14.0
6037,8088687,64.3,58.7,8.8
6039,117028,51.6,47.8,7.3
6041,211854,66.4,63.7,3.9
6045,71358,57.8,51.6,10.6
6047,195533,60.3,51.7,14.3
6053,328467,58.8,53.4,6.4
6055,114947,63.6,60.4,5.0
6057,83437,55.0,50.2,8.5
6059,2506044,65.8,61.5,6.4
6061,296212,60.8,56.5,6.3
6065,1788256,60.0,52.7,11.8
6067,1161644,61.9,55.6,10.0
6071,1606781,59.8,52.4,11.2
6073,2619357,64.8,57.3,7.5
6075,748331,70.3,65.9,6.2
6077,540080,60.5,53.7,11.1
6079,234586,56.9,52.8,5.7
6081,613294,68.3,65.0,4.8
6083,352721,63.1,58.4,6.8
6085,1502937,67.4,63.2,6.2
6087,224043,63.1,59.1,6.4
6089,146393,53.3,48.9,8.1
6095,343709,63.4,56.1,10.0
6097,408899,65.4,60.7,7.0
6099,403739,60.5,52.1,13.9
6101,74117,60.3,52.5,12.2
6107,328744,58.4,53.5,8.1
6111,665249,65.9,60.4,8.0
6113,168218,59.2,55.3,6.4
6115,55704,56.7,46.7,13.4
8001,361277,70.5,66.3,5.9
8005,483330,70.9,66.7,5.6
8013,257695,69.5,65.4,5.9
8031,535705,70.6,67.3,4.7
8035,235388,72.6,70.4,2.9
8041,514166,66.9,57.2,7.2
8059,455629,69.4,66.7,3.8
8069,265743,66.6,62.8,5.6
8077,118202,64.1,58.9,8.2
8101,128276,57.3,51.0,11.0
8123,210392,69.0,65.2,5.3
9001,750300,68.3,62.8,7.9
9003,726869,66.9,61.1,8.5
9005,153876,67.0,62.9,6.1
9007,137601,69.6,65.4,5.8
9009,702510,65.3,59.5,8.8
9011,224585,68.1,60.7,6.4
9013,127994,68.3,64.1,6.2
9015,95510,68.5,62.8,8.0
10001,135142,63.7,57.8,7.1
10003,445120,64.8,60.4,6.6
10005,173964,58.1,54.1,6.9
11001,555126,68.9,62.3,8.9
12001,215290,58.9,53.5,9.2
12005,144570,59.2,52.2,9.1
12009,465728,54.5,49.3,9.2
12011,1512271,66.2,60.6,8.3
12015,149819,43.9,38.7,11.7
12017,121320,40.1,35.4,11.6
12019,158002,62.6,53.9,11.8
12021,291946,53.0,49.6,6.5
12023,54745,49.5,43.3,12.5
12031,715009,64.2,57.4,8.4
12033,252608,61.3,53.0,8.2
12035,86236,46.9,43.6,7.0
12053,146695,46.2,41.7,9.2
12055,81989,45.2,38.6,14.8
12057,1045723,65.3,59.8,7.7
12061,121629,50.2,45.6,9.0
12069,260078,52.8,47.8,9.4
12071,567278,53.0,49.2,7.2
12073,235141,67.0,59.7,10.8
12081,290329,53.8,50.4,6.4
12083,283350,47.2,43.0,8.6
12085,132046,54.3,49.7,8.1
12086,2177295,62.1,57.0,8.1
