ID,Population,Labor Part.,Employment,Unemployment
1003,144307,62.8,57.5,8.2
1015,89610,57.9,50.7,11.9
1043,64338,59.6,54.0,9.3
1049,53433,56.6,48.6,14.1
1051,61952,58.8,51.4,10.4
1055,82693,56.0,49.0,12.4
1069,78306,58.3,52.6,8.7
1073,525180,63.8,57.1,10.3
1077,73060,55.7,48.7,12.6
1081,110078,62.4,53.9,12.4
1083,61494,60.4,52.0,12.7
1089,258691,69.0,60.3,9.6
1095,68770,59.5,52.8,11.3
1097,317516,63.0,55.2,11.7
1101,173432,63.8,56.8,9.4
1103,90679,61.4,52.8,13.4
1115,63896,60.1,51.9,13.3
1117,147421,69.5,65.2,6.1
1121,63517,58.2,50.0,13.2
1125,147450,58.1,53.8,7.4
1127,54644,58.9,51.2,12.3
2020,220496,75.2,65.9,7.6
2090,75562,71.1,62.6,6.1
2170,66804,63.0,53.2,15.1
4001,51701,44.7,35.2,21.2
4003,101094,54.9,46.0,7.9
4005,100735,68.4,63.2,7.2
4013,3038154,66.3,59.3,10.3
4015,157019,50.4,42.7,15.1
4017,82610,53.0,42.8,19.2
4019,808115,59.7,53.1,10.3
4021,259098,55.4,49.2,10.8
4025,178695,54.5,48.7,10.3
4027,146226,54.1,44.4,13.1
5007,169488,65.0,60.0,7.2
5031,74785,63.3,58.2,8.0
5045,85407,71.1,63.9,9.1
5051,79860,53.5,48.5,9.3
5069,61989,56.1,49.2,12.0
5085,50491,66.5,58.2,8.7
5119,296123,66.9,59.8,8.7
5125,78086,67.2,61.7,7.9
5131,95552,59.5,55.4,6.6
5143,154621,67.5,62.6,7.1
5145,61047,61.3,54.5,10.1
6001,1185220,68.0,60.6,10.6
6007,180155,58.5,49.7,14.8
6013,812115,66.8,59.7,10.5
6017,142066,67.9,60.9,10.1
6019,670719,62.1,53.8,13.0
6023,106168,60.3,54.8,8.9
6025,122095,57.8,47.1,18.5
6029,585363,59.1,50.9,13.1
6031,112541,59.0,46.5,14.1
6033,52399,53.0,46.4,11.6
6037,7639479,66.1,58.9,10.8
6039,109911,56.7,48.4,14.7
6041,205656,64.6,60.3,6.4
6045,68669,61.0,54.5,10.4
6047,174999,60.0,50.0,16.5
6053,310118,66.0,55.5,12.9
6055,106757,66.2,59.6,9.7
6057,82535,59.2,53.5,9.7
6059,2358788,67.8,61.3,9.4
6061,275777,64.4,58.1,9.6
6065,1581681,63.3,53.9,14.3
6067,1083817,64.3,55.8,12.9
6071,1492751,64.1,53.9,14.5
6073,2396488,66.1,56.4,9.6
6075,709724,69.7,62.9,9.7
6077,498385,63.3,53.5,15.4
6079,224193,60.5,55.2,8.7
6081,575229,68.7,62.8,8.5
6083,322130,63.7,57.2,9.0
6085,1392013,68.1,61.0,10.4
6087,206480,63.9,57.5,9.9
6089,144518,57.6,49.3,14.2
6095,318536,65.9,57.4,11.1
6097,380505,67.7,60.6,10.2
6099,378779,63.4,53.3,15.8
6101,70395,61.6,52.0,14.6
6107,304191,62.9,54.0,13.8
6111,617905,67.2,60.5,9.1
6113,158230,64.4,57.4,10.8
6115,53852,61.5,45.1,19.0
8001,329112,72.3,64.9,10.1
8005,435311,70.6,64.2,8.4
8013,247554,70.5,64.7,8.0
8031,482507,71.8,64.8,9.6
8035,211415,76.0,70.0,7.5
8041,463740,70.0,58.8,8.8
8059,432602,70.8,65.0,8.0
8069,242645,71.2,65.0,8.3
8077,114803,64.3,60.0,6.3
8101,121959,57.8,50.7,11.7
8123,190974,69.3,63.2,8.8
9001,703405,68.5,61.8,9.6
9003,702314,67.8,61.6,8.9
9005,153201,70.8,64.0,9.6
9007,135281,69.9,64.2,8.0
9009,678725,68.6,61.7,10.0
9011,214728,68.6,60.8,8.4
9013,124395,67.7,63.2,6.2
9015,95520,70.1,62.7,10.1
10001,122023,64.5,56.3,8.6
10003,423543,67.6,61.5,8.9
10005,156846,61.4,56.4,7.9
11001,498735,66.7,58.9,11.1
12001,204498,59.3,53.8,9.2
12005,131863,64.0,55.1,10.8
12009,444366,58.2,51.4,11.2
