ID,Population,Labor Part.,Employment,Unemployment
1003,156685,58.8,54.4,7.4
1015,93555,56.4,47.0,15.8
1043,64896,53.7,49.9,7.1
1049,56721,53.3,49.5,7.2
1051,64160,55.7,49.8,9.7
1055,83759,53.2,47.7,10.2
1069,81857,59.3,54.1,8.5
1073,522468,61.6,56.2,8.6
1077,76774,57.1,53.2,6.8
1081,122265,61.8,57.2,5.6
1083,69786,60.2,55.7,7.2
1089,276842,65.4,59.3,9.0
1095,73740,57.7,52.3,9.4
1097,325083,58.7,51.7,11.7
1101,177504,61.4,56.1,7.3
1103,95714,57.8,52.2,9.7
1115,N,N,N,N
1117,158718,65.7,62.4,4.8
1121,65092,54.3,47.5,12.5
1125,161851,59.0,54.3,7.8
1127,52475,50.5,43.9,13.1
2020,232014,74.3,66.1,6.6
2090,77858,74.1,59.5,10.3
2170,71963,63.4,56.4,10.2
4001,53267,39.0,32.2,17.5
4003,104264,49.9,42.3,8.7
4005,110133,64.1,58.8,8.3
4013,3104681,62.5,57.7,7.6
4015,169276,46.1,39.4,14.5
4017,80622,50.7,40.9,19.4
4019,801875,59.5,52.6,10.7
4021,301281,50.2,45.7,8.9
4025,182206,52.1,46.3,10.9
4027,153084,56.7,47.6,13.0
5007,179100,64.0,61.2,4.2
5031,79013,60.4,56.5,6.4
5045,93624,66.2,62.5,5.4
5051,79410,54.1,47.7,11.9
5069,57812,54.4,49.6,8.9
5085,53898,68.3,60.6,8.2
5119,308316,63.9,58.3,7.9
5125,90097,63.5,60.5,4.7
5131,98987,56.9,53.2,6.3
5143,166009,65.4,61.5,6.0
5145,61909,56.3,52.2,7.3
6001,1273525,66.2,60.2,8.9
6007,182135,55.3,50.2,9.3
6013,864083,64.8,59.1,8.7
6017,147738,59.6,51.3,13.9
6019,705543,60.5,52.7,12.8
6023,111540,58.5,50.8,13.1
6025,130999,54.5,45.7,15.5
6029,635710,58.2,50.9,12.3
6031,113489,56.6,46.3,13.1
6033,52337,46.5,39.9,14.1
6037,7974440,64.5,57.9,10.2
6039,114518,49.6,45.3,8.6
6041,210715,64.9,60.5,6.5
6045,70743,57.0,50.5,11.3
6047,192020,59.1,47.3,19.9
6053,326867,59.3,52.8,8.3
6055,112922,67.2,61.8,8.1
6057,83217,51.6,47.1,8.5
6059,2472175,66.3,61.1,7.8
6061,291928,62.0,56.9,7.9
6065,1748876,60.6,52.5,12.9
6067,1143637,61.7,54.1,12.3
6071,1578526,60.1,52.2,12.1
6073,2565944,64.2,55.8,9.0
6075,736728,70.3,65.1,7.3
6077,529670,60.6,52.5,13.4
6079,232659,59.4,55.4,5.8
6081,601688,69.3,64.5,6.8
6083,348380,64.6,59.2,7.9
6085,1470991,67.4,61.9,8.2
6087,219308,64.5,58.9,8.6
6089,144698,51.5,46.1,10.4
6095,337081,63.1,54.5,11.5
6097,403322,64.7,59.2,8.4
6099,395424,63.3,53.2,15.9
6101,72249,59.5,51.7,12.5
6107,325359,58.8,51.0,13.0
6111,656537,67.1,61.5,7.7
6113,165318,60.8,54.9,9.1
6115,54401,57.8,44.2,18.5
8001,350410,70.5,65.1,7.6
8005,474066,70.8,64.7,8.2
8013,253788,70.4,66.1,6.1
8031,524402,70.6,66.3,5.9
8035,225826,71.2,67.7,4.5
8041,506065,68.4,56.9,8.8
8059,448621,68.8,64.5,6.2
8069,257699,67.5,63.4,5.8
8077,117396,61.8,57.1,7.7
8101,127564,55.5,49.7,10.2
8123,203689,68.4,62.2,8.9
9001,743289,68.9,62.4,9.5
9003,724739,66.8,60.0,10.2
9005,154827,69.5,64.4,7.3
9007,137363,66.1,61.5,6.3
9009,702408,65.2,59.2,9.0
9011,224150,69.3,60.9,8.6
9013,126373,68.3,63.2,7.4
9015,95733,68.5,59.4,13.0
10001,132539,64.7,57.6,8.6
10003,439498,66.5,61.0,8.2
10005,170088,56.0,50.4,9.8
11001,545434,68.8,61.1,10.4
12001,212817,58.4,53.9,7.7
12005,141934,60.5,54.8,7.4
12009,461140,56.1,49.3,11.7
12011,1484445,65.6,58.8,10.3
12015,145904,41.2,36.4,11.7
12017,120620,40.5,36.0,11.2
12019,154216,65.1,57.5,9.9
12021,283561,53.7,49.0,8.7
12023,54106,57.2,49.7,12.9
12031,704161,65.7,57.7,10.4
12033,248973,61.4,51.3,10.5
12035,83833,45.1,42.2,6.4
12053,145358,47.0,40.5,13.9
12055,82019,42.9,36.6,14.4
12057,1024023,65.4,59.2,8.7
12061,119880,51.1,45.8,10.1
12069,253018,52.8,47.9,9.4
12071,549655,53.4,48.0,10.0
12073,233689,67.4,59.7,11.2
12081,281702,53.4,48.7,8.5
12083,281369,46.5,41.3,11.1
12085,128749,51.7,47.0,8.9
12086,2134319,62.0,55.8,9.9
12087,66315,58.3,52.3,7.9
12089,62656,57.1,52.6,7.5
12091,154711,62.8,53.4,6.8
12095,974197,67.6,61.7,8.7
12097,231427,59.5,55.1,7.3
12099,1133994,60.5,54.6,9.6
12101,389077,53.3,48.8,8.5
12103,787034,59.0,53.8,8.7
12105,496081,55.3,49.8,9.9
12107,58309,46.3,41.7,10.0
12109,169583,58.3,54.0,6.8
12111,233991,54.6,48.0,12.0
12113,127831,59.3,50.4,9.9
12115,338763,48.1,43.8,8.8
12117,352280,66.9,60.0,10.3
12119,99841,23.0,20.8,9.7
12127,421999,51.7,46.8,9.5
13013,53966,68.7,59.2,13.7
13015,79529,61.5,55.3,10.1
13021,119322,56.8,47.5,16.4
13031,58337,59.6,51.1,14.1
13045,87849,59.1,52.0,11.5
13047,51401,64.6,59.0,8.6
13051,221353,63.5,55.2,11.1
13057,170666,65.6,60.9,7.2
13059,101966,61.5,54.4,11.1
13063,197953,66.8,56.5,15.1
13067,559533,71.3,65.3,8.3
13073,103934,64.9,57.0,8.5
13077,102353,64.7,60.3,6.1
13089,560672,69.2,61.3,11.4
13095,71910,57.3,46.0,19.2
13097,103614,69.2,61.3,11.3
13113,85729,61.4,56.8,6.7
13115,75746,56.9,50.9,10.5
13117,144342,67.7,63.8,5.7
13121,778386,66.5,59.8,10.0
13127,64937,59.2,53.3,9.9
13135,646379,70.4,63.5,9.6
13139,142029,66.2,60.7,8.3
13151,159455,66.5,59.8,9.8
13153,113401,59.7,53.2,8.5
13179,47034,66.4,48.3,13.2
13185,87761,63.1,52.8,12.5
13215,158677,60.2,46.6,13.0
13217,78473,64.3,57.4,10.7
13223,110065,68.6,62.4,9.0
13245,158111,57.8,46.5,15.1
13247,67733,60.7,53.4,12.0
13285,53020,64.0,56.4,11.8
13295,55116,55.1,50.8,7.9
13297,66105,61.5,57.7,6.3
13313,78037,66.2,58.3,11.6
15001,152146,60.0,54.1,9.7
15003,792150,64.9,56.2,5.2
15007,55818,63.8,59.8,5.8
15009,128330,69.6,64.7,7.0
16001,320882,66.3,62.4,5.8
16005,63805,63.9,59.4,6.9
16019,77351,63.0,58.8,6.7
16027,145194,62.3,56.2,9.4
16055,113564,59.8,55.0,7.9
16083,60095,65.5,61.7,5.9
17001,54155,62.7,57.7,7.7
17019,170171,63.5,59.3,6.5
17031,4177045,66.3,58.9,11.1
17037,83561,71.0,63.6,10.5
17043,737667,70.0,65.2,6.8
17089,394753,70.0,64.5,7.9
17091,87509,63.8,57.0,10.6
17093,86996,74.0,66.6,10.0
17097,543415,69.8,62.3,8.3
17099,89518,62.3,55.3,11.2
17111,239944,72.7,66.7,8.1
17113,139730,69.6,66.2,4.9
17115,87737,63.5,56.2,11.2
17119,213812,64.4,58.2,9.5
17143,148498,63.4,58.3,7.9
17161,117833,65.0,59.4,8.5
17163,209461,62.2,55.1,9.4
17167,157907,66.5,60.8,8.5
17179,108783,62.7,57.6,7.8
17183,63379,59.5,52.6,11.6
17197,520299,68.9,62.8,8.7
17199,53474,59.3,54.0,8.7
17201,228403,65.2,57.7,11.5
18003,277694,66.7,60.9,8.6
18005,62148,63.2,59.8,5.2
18019,89870,62.9,58.5,7.1
18035,97576,61.2,54.7,10.6
18039,150293,66.7,61.3,8.2
18043,60286,64.9,60.3,7.2
18053,56450,56.8,52.9,6.8
18057,219928,72.8,69.5,4.4
18059,56097,67.1,60.8,9.4
