ID,Population,Labor Part.,Employment,Unemployment
1003,139003,62.1,59.2,4.3
1015,90414,60.7,55.1,9.0
1043,64979,56.8,53.2,6.2
1049,53891,55.5,51.9,5.9
1051,60670,61.9,56.5,7.4
1055,82230,55.9,51.9,7.1
1069,76447,62.2,57.9,6.4
1073,519550,64.2,59.7,6.7
1077,72447,58.0,54.5,6.0
1081,106987,62.4,57.9,5.8
1083,59973,59.6,54.4,8.4
1089,251888,68.3,62.3,6.6
1095,67991,58.5,55.9,4.4
1097,311783,62.4,57.2,7.8
1101,173566,64.3,59.4,5.2
1103,91776,65.2,60.2,7.4
1115,62266,65.7,59.6,8.3
1117,142958,72.0,69.2,3.7
1121,64111,58.6,52.8,9.9
1125,142484,60.7,57.0,5.7
1127,55214,51.6,47.5,8.1
2020,214368,76.4,67.7,6.1
2090,72746,76.4,64.8,5.4
2170,66461,67.8,56.6,14.9
4001,51851,37.5,33.2,11.5
4003,101824,55.2,48.9,6.5
4005,99663,68.2,64.8,4.9
4013,2978977,67.1,63.3,5.3
4015,158995,52.4,46.5,11.3
4017,83686,56.3,50.6,10.1
4019,801024,62.7,57.2,6.9
4021,251205,57.0,53.4,5.3
4025,177492,57.1,52.5,8.0
4027,144856,54.0,46.6,9.4
5007,157930,66.2,63.9,3.4
5031,72134,64.4,61.2,5.1
5045,83442,66.3,60.4,8.5
5051,77936,53.8,49.4,8.1
5069,61161,58.9,52.0,11.5
5085,49584,66.5,60.4,6.1
5119,290547,68.7,63.6,6.0
5125,78100,65.2,61.7,4.7
5131,94081,59.2,55.8,5.6
5143,148079,69.4,65.4,5.4
5145,59429,59.1,54.9,6.0
6001,1167163,67.1,62.5,6.5
6007,181378,58.3,51.3,11.9
6013,811005,66.6,61.8,7.0
6017,143659,68.4,62.7,8.1
6019,669834,63.3,56.9,9.7
6023,106022,61.3,56.0,8.5
6025,121371,56.2,48.0,14.2
6029,588975,60.1,53.2,9.2
6031,113784,57.8,46.0,11.0
6033,52294,57.5,51.7,10.1
6037,7617775,65.6,61.0,6.9
6039,112033,53.7,48.1,10.3
6041,206643,66.8,64.0,4.1
6045,69620,61.4,56.7,7.6
6047,178217,61.4,54.6,11.1
6053,308933,66.2,58.0,9.6
6055,107217,66.5,62.1,6.2
6057,82485,61.1,56.8,7.1
6059,2337803,68.1,63.9,6.0
6061,276157,64.2,60.5,5.2
6065,1584308,63.8,57.2,9.9
6067,1074761,66.2,60.4,8.8
6071,1493698,65.1,57.6,10.2
6073,2338442,66.7,58.8,6.9
6075,701272,68.8,64.6,6.1
6077,501902,63.6,56.1,11.8
6079,221761,61.6,57.7,6.2
6081,570900,68.7,65.2,5.1
6083,321600,64.9,60.9,5.0
6085,1383123,68.2,64.1,5.9
6087,205213,68.5,63.9,6.5
6089,144987,58.6,52.1,10.8
6095,318578,65.1,58.9,6.7
6097,377060,67.3,63.0,6.3
6099,382472,63.8,56.9,10.8
6101,70387,65.3,57.0,11.9
6107,306945,62.2,56.4,9.2
6111,617726,67.5,62.4,6.3
6113,158202,65.4,60.4,7.6
6115,54109,64.6,55.3,10.8
8001,319121,74.1,70.5,4.9
8005,429539,72.5,68.6,4.7
8013,238571,70.8,68.0,3.9
8031,463995,71.0,67.3,5.1
8035,208142,78.5,75.6,3.4
8041,457997,70.8,61.9,6.0
8059,429155,73.3,69.0,5.8
8069,237395,70.7,66.9,5.0
8077,113601,66.4,63.9,3.7
8101,123412,59.7,54.8,7.9
8123,189824,71.0,67.5,4.8
9001,696822,68.2,63.5,6.8
9003,700255,68.0,63.4,6.4
9005,153514,71.4,67.3,5.6
9007,133550,68.1,64.8,4.9
9009,675631,69.4,64.5,7.0
9011,211192,69.5,64.4,4.9
9013,122197,70.3,67.8,3.4
9015,95110,69.0,62.2,9.6
10001,120550,67.0,59.1,5.7
10003,418798,68.2,63.7,6.5
10005,151991,59.4,54.6,7.8
11001,492741,68.0,62.2,7.8
12001,201475,62.6,60.0,4.0
12005,130213,66.4,57.3,5.8
12009,442657,59.2,54.3,7.6
12011,1394683,67.1,61.8,7.7
12015,129594,51.4,46.6,9.3
12017,122152,43.8,39.2,10.7
12019,145037,68.9,62.8,6.9
12021,257139,56.7,52.7,7.1
12023,59991,53.9,46.0,14.6
12031,657130,69.7,63.6,7.0
12033,244437,61.9,53.0,8.6
12035,75743,54.4,50.3,7.3
12053,142787,51.4,44.9,12.3
12055,83393,47.4,42.6,9.7
12057,921174,67.1,62.2,6.7
12061,109821,58.8,54.1,7.8
12069,253669,52.7,48.6,7.6
12071,483214,57.3,52.4,8.5
12073,215596,70.5,65.4,7.1
12081,256179,58.3,53.0,8.8
12083,271673,52.4,47.0,10.2
12085,116756,54.0,49.2,8.9
12086,1928267,62.2,58.0,6.7
12087,61974,66.6,61.7,6.6
12089,N,N,N,N
12091,142044,68.2,57.9,5.1
12095,834713,71.0,65.3,7.9
12097,203080,68.7,63.2,8.0
12099,1032574,59.9,55.4,7.5
12101,383514,56.5,50.8,9.9
12103,760167,60.1,56.2,6.3
12105,456645,59.4,55.0,7.3
12107,58569,47.3,43.0,8.9
12109,148605,65.9,60.6,7.4
12111,211694,60.8,53.3,12.3
12113,120640,65.4,58.7,6.2
12115,318360,54.1,49.1,9.0
12117,329794,70.4,66.3,5.8
12119,N,N,N,N
12127,412938,57.4,53.9,5.9
13013,N,N,N,N
13015,72767,65.8,63.3,3.5
13021,118743,59.3,54.3,8.1
13031,54573,62.7,56.7,9.5
13045,87377,65.5,60.3,7.7
13051,195431,62.7,57.5,5.3
13057,155872,74.2,70.5,4.8
13059,94318,62.9,60.3,4.1
13063,202344,73.5,66.2,9.4
13067,535755,75.0,70.7,5.4
13073,84343,69.1,62.5,6.3
13077,91970,67.3,63.3,5.4
13089,581910,71.5,65.0,8.9
13095,72933,60.2,55.4,7.5
13097,95879,70.9,64.7,8.4
13113,85029,68.4,64.3,5.5
13115,74222,63.8,59.3,7.1
13117,123425,73.2,70.5,3.6
13121,788908,69.2,64.2,7.0
13127,59687,62.1,59.1,4.6
13135,582521,75.2,69.6,7.4
13139,136729,66.3,63.6,3.9
13151,141156,72.1,66.7,6.6
13153,102059,66.8,58.5,6.0
13185,80550,68.6,60.5,6.2
13215,143078,65.0,53.1,5.9
13217,72122,71.1,65.0,8.5
13223,97217,71.9,64.8,9.2
13245,152964,62.8,53.3,8.6
13247,64435,68.2,60.5,11.3
13297,64632,69.1,61.3,11.2
13313,68145,70.5,65.6,6.9
15001,142111,66.6,63.4,4.8
15003,728799,67.2,59.1,3.6
15009,114966,70.0,66.2,4.8
16001,291511,70.5,65.7,6.0
16005,60126,67.5,64.4,4.6
16019,72275,68.7,65.9,4.0
16027,132744,67.0,61.5,7.4
16055,108070,65.9,62.4,5.3
16083,58062,63.5,61.6,3.0
17001,53583,68.6,66.1,3.6
17019,159919,64.5,61.1,4.9
17031,4129800,67.0,61.7,7.9
17037,85833,72.4,64.5,10.8
17043,728351,72.9,68.9,5.5
17089,375120,71.6,67.7,5.4
17091,87638,68.5,62.2,9.2
17093,76187,79.0,75.1,4.6
17097,539060,72.9,66.9,6.4
17099,89873,67.6,61.0,9.8
17111,243387,72.8,68.7,5.5
