ID,Population,Labor Part.,Employment,Unemployment
1003,168216,55.7,53.6,3.6
1015,92847,55.9,50.4,9.3
1043,66852,51.5,49.0,4.7
1049,56314,55.6,52.7,5.0
1051,65296,55.3,52.2,4.9
1055,83107,52.7,49.2,6.4
1069,82539,57.0,52.6,7.3
1073,525539,62.6,58.2,6.9
1077,76069,55.5,51.2,7.3
1081,128619,62.5,58.3,5.8
1083,74427,55.1,51.7,5.7
1089,287221,65.5,62.0,4.7
1095,74909,54.2,50.6,6.4
1097,328783,56.9,53.3,6.1
1101,179316,62.5,57.2,7.2
1103,95323,54.4,51.6,5.1
1115,69656,59.9,56.9,5.0
1117,165685,65.5,62.9,3.9
1121,64456,51.4,47.4,7.8
1125,166989,62.4,57.6,7.4
1127,52378,48.5,42.0,13.1
2020,232183,73.2,66.2,5.2
2090,78611,75.4,61.1,10.3
2170,79082,65.3,55.8,13.2
4001,54747,39.7,35.4,10.9
4003,100954,49.4,42.5,7.6
4005,115586,62.1,56.6,8.7
4013,3318224,63.8,60.2,5.4
4015,173402,44.6,40.3,9.6
4017,83690,45.6,39.9,12.6
4019,823127,58.2,53.0,8.1
4021,331996,48.9,44.6,8.8
4025,192007,47.2,44.7,5.3
4027,158656,55.8,47.8,10.6
5007,196213,64.7,63.6,1.7
5031,82844,62.9,56.9,9.4
5045,96675,58.9,56.7,3.6
5051,79736,58.5,54.1,7.6
5069,55683,48.5,44.6,8.1
5085,56650,62.9,59.1,3.2
5119,310380,62.2,58.6,4.8
5125,94070,64.6,62.1,3.6
5131,100420,59.4,56.6,4.7
5143,176719,63.2,61.3,3.1
5145,62308,55.0,51.6,5.9
6001,1337443,66.6,63.4,4.5
6007,186137,54.7,50.0,8.6
6013,904160,64.7,60.8,5.9
6017,152824,56.6,52.8,6.5
6019,728964,59.7,53.8,9.5
6023,113042,60.0,54.7,8.7
6025,135469,52.6,45.1,13.7
6029,652088,58.7,51.8,11.4
6031,112908,58.1,50.3,6.8
6033,N,N,N,N
6037,8151797,64.2,59.9,6.6
6039,116661,54.4,48.4,11.0
6041,212857,64.4,61.6,4.2
6045,70701,58.8,52.6,10.3
6047,196595,59.5,50.9,14.4
6053,332496,61.3,56.9,4.6
6055,116212,66.8,63.5,4.9
6057,83912,52.0,49.3,5.0
6059,2549573,65.6,62.2,5.0
6061,305585,60.5,57.2,4.8
6065,1845898,59.5,54.4,8.3
6067,1192611,61.9,57.8,6.6
6071,1633443,60.1,54.4,8.6
6073,2668897,65.5,59.0,6.2
6075,763084,70.2,67.0,4.5
6077,555510,60.4,55.0,8.8
6079,237630,60.2,57.2,3.8
6081,619899,69.1,66.8,3.3
6083,356545,64.7,60.4,5.8
6085,1533442,67.1,63.9,4.7
6087,226906,63.9,59.9,5.8
6089,145619,53.3,50.0,6.1
6095,352761,63.4,58.1,6.6
6097,413205,65.0,61.6,4.5
6099,410340,61.3,54.9,10.4
6101,74508,58.5,53.0,8.7
6107,333486,57.0,52.0,8.7
6111,673962,65.7,62.0,5.0
6113,174405,58.3,54.6,6.2
6115,55580,59.8,51.6,8.7
8001,375308,71.1,68.2,3.8
8005,501381,71.1,68.0,3.8
8013,266105,67.5,64.3,4.7
8014,52782,70.9,67.6,4.4
8031,565318,71.2,68.0,4.3
8035,250105,73.7,71.1,3.4
8041,536644,68.1,58.7,6.0
8059,469770,69.0,66.0,4.3
8069,280498,67.2,63.5,5.5
8077,120128,63.0,57.2,9.2
8101,131395,56.2,51.9,7.4
8123,224632,65.6,62.5,4.5
9001,752675,68.0,63.3,6.9
9003,726020,65.3,61.3,6.1
9005,153381,67.8,64.3,5.1
9007,137024,68.2,66.1,3.1
9009,703467,65.5,60.8,7.0
9011,222559,68.5,61.5,6.4
9013,127947,65.5,60.8,6.7
9015,96605,65.3,60.4,7.3
10001,137979,62.3,56.1,8.0
10003,449663,63.9,60.2,5.7
10005,183417,54.6,52.6,3.5
11001,569932,69.3,64.0,6.9
12001,221034,57.5,54.2,5.5
12005,148817,60.8,55.3,5.7
12009,486542,53.1,49.7,6.0
12011,1552230,65.4,61.6,5.7
12015,158262,40.8,37.2,8.8
12017,125896,40.2,35.6,11.3
12019,164627,63.0,58.6,4.7
12021,308016,52.3,50.4,3.7
12023,56368,48.1,44.5,7.3
12031,738517,65.3,59.6,5.9
12033,257321,59.5,52.0,6.2
12035,92828,44.1,41.9,4.9
12053,153210,46.6,43.4,6.9
12055,85015,42.2,35.7,15.4
12057,1095017,65.3,61.2,5.8
12061,129955,44.1,41.6,5.5
12069,276824,52.2,49.2,5.7
12071,604875,53.1,49.9,6.1
12073,240300,64.1,59.7,6.6
12081,314208,53.4,50.0,6.4
12083,290640,46.1,43.2,6.3
12085,134337,51.6,48.9,4.2
12086,2222826,61.7,58.0,5.9
12087,68547,65.4,61.3,3.3
12089,66671,57.8,53.4,5.8
12091,160927,63.9,53.9,5.8
12095,1050701,66.5,62.3,6.3
12097,262988,62.8,59.4,5.4
12099,1197615,59.5,55.8,6.3
12101,421742,52.4,48.3,7.5
12103,820624,57.3,53.8,5.8
12105,532990,55.0,51.5,6.1
12107,58569,49.2,45.3,7.9
12109,190032,60.2,58.0,3.1
12111,251755,53.4,50.4,5.6
12113,136895,57.4,51.3,5.4
12115,359587,48.2,45.8,4.8
12117,370342,64.3,60.9,5.0
12119,116477,23.1,22.4,2.8
12127,446717,52.3,49.0,6.4
12131,55067,59.8,55.4,6.4
13013,58925,62.0,58.8,5.2
13015,79948,60.1,54.7,7.7
13021,119794,55.1,51.8,5.7
13031,61529,60.7,53.9,11.0
13045,91675,58.0,54.0,6.7
13047,N,N,N,N
13051,232073,66.2,60.0,7.7
13057,188755,68.0,65.2,3.9
13059,104526,61.6,58.2,5.6
13063,208338,66.2,61.0,7.7
13067,587592,70.0,66.7,4.5
13073,113430,63.8,57.5,4.2
13077,108644,68.0,64.1,5.7
13089,582447,68.6,63.9,6.7
13095,69864,58.9,50.7,13.7
13097,109775,69.4,64.1,7.5
13113,89885,63.2,60.2,4.6
13115,76663,59.8,56.0,6.3
13117,166561,68.6,66.9,2.4
13121,820040,67.6,63.3,6.2
13127,66934,61.0,57.7,5.4
13135,686073,69.3,66.8,3.5
13139,150824,62.7,60.9,2.7
13151,170677,66.2,62.6,5.4
13153,117495,66.0,61.3,5.5
13179,46522,65.5,46.9,11.5
13185,90000,58.8,51.4,6.0
13215,153962,61.1,52.3,7.7
13217,82087,59.7,54.6,8.6
13223,118894,65.2,63.0,3.0
13245,159109,60.2,50.7,10.4
13247,70096,59.6,55.1,7.3
13285,54224,62.9,58.1,7.7
13295,53581,55.4,51.4,6.6
13297,70606,61.7,57.3,7.0
13313,80219,62.8,58.3,7.2
15001,160212,57.2,53.3,6.5
15003,802599,67.0,59.7,4.1
15007,57404,67.2,63.0,5.9
15009,132011,67.3,64.8,3.6
16001,348488,66.5,63.8,3.7
16005,64209,59.7,56.0,6.1
16019,81129,63.9,62.0,2.7
16027,156779,64.4,59.3,7.8
16055,122757,59.3,55.7,6.1
16083,62901,64.3,62.7,2.4
17001,53425,63.7,60.2,5.5
17019,173371,63.7,61.3,3.6
17031,4171529,66.1,61.2,7.3
17037,84059,70.6,66.6,5.6
17043,741693,69.1,66.1,4.2
17089,408455,68.5,64.2,6.2
17091,87206,60.4,57.8,4.2
17093,93225,74.1,71.1,4.0
17097,550721,70.1,64.4,5.6
17099,90260,60.7,55.6,8.2
17111,242608,69.7,66.9,4.0
17113,139510,68.6,66.1,3.6
17115,85534,59.9,54.5,8.6
17119,214408,62.2,57.8,6.9
17143,145396,62.8,57.7,8.0
17161,115505,63.2,59.0,6.5
17163,208336,63.9,58.2,5.9
17167,157905,63.4,59.1,6.5
17179,107078,64.3,60.9,5.1
17183,61792,52.3,49.7,5.0
17197,534205,68.2,64.8,4.9
17199,53838,54.9,50.6,7.8
17201,227762,63.7,57.9,9.1
18003,286191,65.6,62.4,4.8
18005,64222,65.3,62.0,5.1
18019,92225,63.5,59.6,6.1
18035,97215,57.0,52.5,7.9
18039,153521,67.4,63.3,6.2
18043,61974,66.0,63.4,3.9
18053,54627,55.7,50.9,8.7
18057,238207,73.4,71.8,2.2
18059,N,N,N,N
18063,124704,69.5,65.4,5.8
18067,66941,57.8,54.7,5.2
18081,118201,68.0,65.5,3.7
18085,62206,64.0,61.1,4.5
18089,383085,61.7,57.6,6.4
18091,88368,59.0,55.1,6.7
18095,104313,58.4,55.1,5.7
18097,729944,67.0,63.0,5.9
18105,125499,62.3,58.3,6.1
18109,56116,64.6,60.7,5.5
18127,134721,62.1,59.5,4.0
18141,211632,61.5,57.4,6.4
18157,152892,64.0,61.2,4.3
18163,145968,65.2,61.9,5.0
18167,88343,58.4,55.9,4.3
18177,53583,59.0,55.9,5.3
19013,107235,69.7,66.4,4.6
19049,63265,73.1,70.9,2.9
19061,77408,70.4,66.8,5.0
19103,119990,70.7,68.2,3.5
19113,174642,70.0,67.3,3.7
19153,367900,72.5,69.0,4.7
19155,74454,67.9,64.4,5.0
19163,134950,63.5,61.3,3.0
19169,83232,69.2,65.9,4.6
19193,78665,67.7,65.3,3.5
20015,52516,63.8,60.9,4.2
20045,100639,71.2,68.6,3.6
20091,456092,71.9,69.6,3.2
20103,63136,61.4,55.4,4.3
20161,62436,69.2,57.1,6.3
20173,393401,67.3,63.4,5.3
20177,140539,63.9,61.2,4.0
20209,122434,67.6,62.1,8.0
21015,98529,69.4,66.4,3.5
21029,N,N,N,N
21037,75143,65.1,62.0,4.7
21047,53987,61.6,45.0,4.9
21059,77552,61.5,57.4,6.4
21067,257828,69.1,64.7,6.1
21093,84045,65.4,58.1,7.0
21111,613520,66.2,62.4,5.7
21117,129272,69.7,67.2,3.6
21145,53161,59.2,56.8,3.6
21151,72213,60.3,56.4,6.5
21185,51227,64.4,62.1,2.8
21227,100061,65.7,63.0,3.9
22005,91106,67.7,63.8,5.8
22015,98118,63.4,53.6,5.5
22017,196191,58.0,53.8,6.9
22019,156768,59.3,55.1,7.1
22033,358470,65.0,60.6,6.6
22045,55954,59.4,53.1,10.6
22051,351306,63.8,60.0,5.7
22055,189976,66.0,62.7,4.9
22057,77199,58.4,54.6,5.9
22063,107435,59.6,56.4,5.2
22071,320306,62.2,56.8,8.2
22073,121920,55.2,51.3,7.1
22079,102912,58.2,53.6,6.4
22097,63233,50.4,48.3,4.1
22103,199130,63.7,59.9,5.9
22105,102357,60.1,55.0,8.2
22109,87096,58.3,54.6,6.3
23001,86697,64.8,61.9,4.4
23003,57060,53.1,51.3,3.3
23005,243280,67.7,66.1,2.1
23011,99736,59.4,56.5,4.8
23019,127876,62.1,57.4,7.4
23031,167822,64.9,61.5,4.6
24001,60657,50.9,46.0,9.4
24003,454652,70.2,64.9,4.8
24005,670075,66.8,63.5,4.6
24009,72635,67.5,62.0,7.3
24013,135958,67.1,64.6,3.7
24015,81158,68.1,64.6,5.0
24017,124703,67.5,63.9,3.4
24021,196719,70.7,67.4,4.1
24025,201743,67.7,62.8,5.6
24027,247690,73.2,69.8,3.6
24031,825615,71.4,67.6,4.8
24033,726561,71.6,66.8,6.3
24037,88333,65.7,61.8,3.1
24043,121238,58.0,54.9,5.0
24045,82878,65.9,59.4,9.8
24510,498366,62.6,56.9,8.9
25001,184464,58.9,55.8,5.0
25003,107824,63.9,59.8,6.4
25005,455735,66.1,62.2,5.8
25009,630959,66.9,63.3,5.3
25011,59823,66.6,63.4,4.8
25013,379226,61.7,57.8,6.2
25015,140022,64.4,59.3,7.7
25017,1307328,70.5,67.5,4.1
25021,567383,67.1,64.0,4.5
25023,414976,68.7,64.9,5.5
25025,664964,69.4,64.2,7.2
25027,665344,67.0,63.6,5.0
26005,90430,64.2,62.4,2.9
26017,85839,60.0,55.6,7.2
26021,123671,60.6,57.4,5.3
26025,107049,59.1,55.7,5.7
26037,62317,63.8,61.4,3.7
26045,88443,63.3,59.6,5.7
26049,325453,57.2,51.2,10.5
26055,75061,63.4,60.8,3.9
26065,236888,64.9,59.9,7.6
26073,60472,60.7,56.6,6.8
26075,128320,56.9,53.2,6.4
26077,210639,66.1,63.3,4.1
26081,500625,68.5,65.6,4.2
26087,72248,58.8,54.2,7.9
26091,80399,58.7,56.1,4.5
26093,152904,66.4,63.5,4.3
26099,704850,62.7,59.2,5.4
26103,55656,57.1,54.9,3.7
26111,67762,59.5,57.0,4.1
26115,121183,60.0,57.3,4.4
26121,137485,58.5,54.0,7.7
26125,1010428,66.4,63.2,4.8
26139,220892,68.2,65.3,4.2
26145,155895,57.0,53.1,6.8
26147,129850,59.5,55.7,6.3
26155,55920,58.7,55.5,5.5
26159,59967,60.4,56.6,6.1
26161,304210,63.9,61.3,4.2
26163,1377019,59.3,53.6,9.7
27003,271252,72.1,69.8,3.2
27013,55387,71.9,67.0,6.6
27019,77004,75.6,74.1,2.1
27037,327519,74.7,71.9,3.6
27053,987947,71.9,69.0,4.0
27109,118941,71.3,68.1,4.5
27123,428148,68.7,65.2,5.0
27131,53114,67.1,65.0,3.1
27137,166172,61.7,58.7,4.6
27139,107124,76.8,74.3,3.2
